sample,agegroup,diff_cum
1,50-59,38354.93142922415
1,60-69,89974.92769150856
1,70-79,82954.23564237909
1,80+,60920.959256191585
2,50-59,31485.277671886233
2,60-69,103490.10319107202
2,70-79,85982.59552336099
2,80+,67540.129455733535
3,50-59,31047.171890839218
3,60-69,103975.18065013588
3,70-79,87431.01301923076
3,80+,57095.36856044705
4,50-59,35281.60029057614
4,60-69,86646.80948690207
4,70-79,85689.85906993905
4,80+,60656.581743589835
5,50-59,40144.38333339639
5,60-69,102607.85115484026
5,70-79,85584.47153415813
5,80+,59949.3152154571
6,50-59,37340.776194200065
6,60-69,112796.77798710667
6,70-79,84600.52363063427
6,80+,60067.88029630138
7,50-59,33357.27673371352
7,60-69,137880.9203560609
7,70-79,81346.5341711491
7,80+,65534.271516482564
8,50-59,37384.365574867996
8,60-69,107563.36535429943
8,70-79,81040.92769160148
8,80+,62957.77296272705
9,50-59,28633.612174264985
9,60-69,80416.62349045138
9,70-79,86184.30928030943
9,80+,62376.15403232481
10,50-59,34795.55080875562
10,60-69,120154.9038768188
10,70-79,88723.84373339896
10,80+,63305.690803033955
11,50-59,30059.716030256728
11,60-69,114264.95453213951
11,70-79,81517.21159454824
11,80+,64113.2352006493
12,50-59,37110.807539774505
12,60-69,101708.90093380262
12,70-79,87580.41909091508
12,80+,63859.96612619849
13,50-59,40425.353595796
13,60-69,86318.04492493972
13,70-79,78838.74308228405
13,80+,63403.78108182597
14,50-59,32288.029351112407
14,60-69,103680.11766910444
14,70-79,82224.22711490169
14,80+,65180.848359927
15,50-59,38451.69811260203
15,60-69,95281.01219235663
15,70-79,78756.9567065536
15,80+,63383.53920628911
16,50-59,38157.7825225386
16,60-69,119663.22683763024
16,70-79,81904.13722030072
16,80+,68764.90030027405
17,50-59,37680.81169111683
17,60-69,77442.29626372579
17,70-79,80659.720572392
17,80+,64422.27204603112
18,50-59,32938.33045661844
18,60-69,127862.43830358735
18,70-79,86970.66637612395
18,80+,65403.43612680835
19,50-59,36207.168972677224
19,60-69,100475.38463989248
19,70-79,83515.50236270587
19,80+,66899.53985999544
20,50-59,39420.80060060022
20,60-69,107550.22436360976
20,70-79,88160.1535904202
20,80+,60464.998351925635
21,50-59,36470.4076107812
21,60-69,96558.79194784028
21,70-79,81424.1111715743
21,80+,58319.82465020961
22,50-59,36212.58507714949
22,60-69,89263.5441421378
22,70-79,85749.51402058818
22,80+,64109.701130801586
23,50-59,32230.19983345439
23,60-69,64562.817899053734
23,70-79,81587.19035031657
23,80+,64030.01195495449
24,50-59,40079.370280792624
24,60-69,96765.41431159437
24,70-79,82263.80259327483
24,80+,62483.791405696575
25,50-59,33342.41058345008
25,60-69,119179.69904129078
25,70-79,82954.24832431134
25,80+,63377.12433060594
26,50-59,42858.76698686542
26,60-69,92437.6052864596
26,70-79,90442.45775013957
26,80+,62911.507336754476
27,50-59,35504.751389878125
27,60-69,97984.57047768414
27,70-79,87382.36224046064
27,80+,65523.44494032566
28,50-59,31102.988941639447
28,60-69,89843.29224202872
28,70-79,85517.03790110456
28,80+,62652.197768924925
29,50-59,36921.65595546562
29,60-69,70798.63824246699
29,70-79,80571.61609171584
29,80+,62757.37513933048
30,50-59,32238.27065643276
30,60-69,95844.73520971963
30,70-79,85549.4273731221
30,80+,65394.565636206265
31,50-59,37161.99373902592
31,60-69,84046.60772561694
31,70-79,79957.86639844801
31,80+,65630.13409927514
32,50-59,39340.07395248986
32,60-69,92875.11359641705
32,70-79,80463.45249710824
32,80+,61023.735983538434
33,50-59,33417.61154491131
33,60-69,67745.35208034764
33,70-79,78770.3421707077
33,80+,67797.39273490566
34,50-59,32007.783012682678
34,60-69,101190.85936598126
34,70-79,84179.15865843672
34,80+,64534.33407225832
35,50-59,36097.92269133735
35,60-69,59213.85828938701
35,70-79,83688.43950293606
35,80+,69150.16819431809
