agegroup,type,week,mean,q025,q25,q50,q75,q975,cases
60-69,1month,2020-02-02,6.51891796926236e-5,-0.034691132744829115,-0.007219321898107292,-2.6871491219502175e-4,0.007378501890823292,0.04023545508711122,0
60-69,1month,2020-02-09,1.8946074197790172e-4,-0.02919021856673602,-0.007509280702050862,-8.301254640009589e-5,0.007433410436287369,0.03108967618998675,0
60-69,1month,2020-02-16,-6.384059080034196e-4,-0.038363412074809956,-0.007124623310685308,3.510904006233536e-5,0.006806723348837871,0.030818619210307985,0
60-69,1month,2020-02-23,1.7423263994878915e-5,-0.029447359957162973,-0.007067332754805613,-8.173991553414627e-5,0.006943827177448736,0.03263633820676921,0
60-69,1month,2020-03-01,-7.165134569626682e-4,-0.03679282334815037,-0.007982634327795845,-5.045340755688928e-5,0.007468403668953786,0.02877962993775486,0
60-69,1month,2020-03-08,3.5496219043723454e-5,-0.029317263296759738,-0.007362248599192798,-4.456140145617482e-4,0.007114051881895862,0.03140264385811391,0
60-69,1month,2020-03-15,-9.335103202270991e-4,-0.034384044560859965,-0.008200606783478155,-2.717346742245584e-4,0.007100587552997252,0.029332625663293713,0
60-69,1month,2020-03-22,0.3582121236998151,0.3298710691755493,0.35045941430083893,0.3577059169816842,0.36493342098728254,0.3901828938413735,0.3571428571428571
60-69,1month,2020-03-29,2.643070822056677,2.6126859067241957,2.635848158038507,2.6431097165064665,2.650411079808255,2.6760558729667445,2.642857142857143
60-69,1month,2020-04-05,5.78707796281907,5.754966078770808,5.779451585732732,5.786807931538645,5.794190681335529,5.824056413312027,5.785714285714286
60-69,1month,2020-04-12,14.142315847163488,14.105583761274152,14.134895972163,14.142299168304596,14.150392351188234,14.174418267300238,14.142857142857142
60-69,1month,2020-04-19,30.71419711657112,30.68684561770037,30.70628749235039,30.714097556658423,30.721636080846906,30.748598663384954,30.714285714285715
60-69,1month,2020-04-26,62.64280825716873,62.612916802178475,62.63550603163273,62.642939630532425,62.65016306734217,62.67191719306118,62.642857142857146
60-69,1month,2020-05-03,119.14255847261713,119.11009878240509,119.1351860672183,119.14261298736466,119.15025679424635,119.17601561546186,119.14285714285714
60-69,1month,2020-05-10,176.7859233928724,176.75662872238377,176.777856597685,176.78586390042156,176.79285531052045,176.81933643093208,176.78571428571428
