agegroup,q025,q50,q975,mean
50-59,28337.21335097711,34313.41617816774,40160.00381065404,34350.539761187305
60-69,63144.353673007005,98431.18988806638,132025.82169989136,98199.62464803392
70-79,76836.9444509027,83515.07202926536,89792.8646526692,83462.00857244426
80+,58473.88158604174,63437.31041333196,68234.2540319382,63450.3765492247
