agegroup,type,week,mean,q025,q25,q50,q75,q975,cases
60-69,1month,2020-02-02,4.378545733771312e-5,-0.02840596606795696,-0.006642764730549613,-1.0519677928039401e-4,0.006688951620818043,0.028124004015279182,0
60-69,1month,2020-02-09,4.145853356352084e-4,-0.030043822693055285,-0.006705784371926652,4.0575036090019804e-5,0.008130913656495643,0.03248677783670284,0
60-69,1month,2020-02-16,-1.6851067616862315e-4,-0.03025530443101254,-0.007037235011212904,8.067763295703616e-4,0.007298600921534115,0.027022002780247092,0
60-69,1month,2020-02-23,-1.1009052834104166e-4,-0.03517869205199237,-0.0068621047164520235,1.8699482149280022e-4,0.0070914128557285775,0.030081492062808024,0
60-69,1month,2020-03-01,1.6096490823550597e-4,-0.027604431849185058,-0.00704317368641425,2.5527888605831315e-4,0.007040529274171765,0.031109963332972414,0
60-69,1month,2020-03-08,2.059945962057941e-4,-0.031048684698920005,-0.007376858158057356,-4.0866519161562387e-4,0.007660561112362279,0.03467140451837287,0
60-69,1month,2020-03-15,-5.202677126388917e-4,-0.03325065685452356,-0.008194730507773057,2.4472755150112485e-4,0.00737827511665287,0.02836822569900226,0
60-69,1month,2020-03-22,-7.101923664094755e-4,-0.03595284811894126,-0.007211661022251471,-4.5117442056368646e-4,0.0063401717065203235,0.030116638655073816,0
60-69,1month,2020-03-29,8.874671473099227e-4,-0.027070807386286207,-0.0064131312000301685,5.479272063403477e-4,0.007653404558639908,0.03217934070172912,0
60-69,1month,2020-04-05,7.336602864025004e-4,-0.030355710597842617,-0.0066039514779036015,5.906448126869301e-4,0.008128438127274953,0.03226460864073415,0
60-69,1month,2020-04-12,-5.587284804014403e-4,-0.034288247712710856,-0.007722227354387207,-2.6128642954772346e-4,0.0063314196588238475,0.0274319095374405,0
60-69,1month,2020-04-19,0.42867041399163064,0.3976318922641129,0.42172591804261617,0.42889251778765036,0.4357143631594279,0.4582182187238201,0.42857142857142855
60-69,1month,2020-04-26,0.857609845197212,0.8287575351618564,0.8504389874009333,0.857748047649544,0.8647437557570039,0.8866093118838537,0.8571428571428571
60-69,1month,2020-05-03,1.5715429911052428,1.5409458752278329,1.5644155438933889,1.5714607267663672,1.5787566038747418,1.6010526921461254,1.5714285714285714
60-69,1month,2020-05-10,2.5003270126973836,2.472710408264483,2.4931658036307907,2.4999059268523016,2.5071993287093988,2.5314982341924805,2.5
60-69,1month,2020-05-17,3.142801846210003,3.1116046084035855,3.1360914896078245,3.143011975411014,3.149511138187167,3.17371846288164,3.142857142857143
60-69,1month,2020-05-24,3.8574142214968234,3.8273471968546424,3.8503624240694174,3.857602660264023,3.864024727179947,3.88615620815895,3.857142857142857
