agegroup,type,week,mean,q025,q25,q50,q75,q975,cases
60-69,1month,2020-02-02,59.7636271802902,-70.82364347440858,17.93397509822962,58.46480010456527,100.381072483667,188.74803124457014,0
60-69,1month,2020-02-09,57.53734845071545,-73.63478591218242,12.240066026427634,57.88138226596617,103.0169095572974,182.64807681718338,0
60-69,1month,2020-02-16,57.455034771118555,-77.47363275928731,12.90525084130417,60.210727878666916,101.08807255596673,185.15297333901444,0
60-69,1month,2020-02-23,55.68042418451368,-57.889267853762874,10.979220531970018,54.32843430824481,98.85247784304838,173.6295566813513,0
60-69,1month,2020-03-01,56.32611015483926,-65.36799998705632,12.672286117025028,55.38067886438671,98.62955080043464,183.1697634564041,0
60-69,1month,2020-03-08,58.89342527813496,-67.75281368817241,15.97605046067456,57.53627606604644,102.89247971625491,191.8387319559599,0
60-69,1month,2020-03-15,62.683879789876606,-66.36112536193161,20.194614247394625,65.14567482462336,105.91227106051606,185.4668654173084,3.5
60-69,1month,2020-03-22,83.77609496847167,-37.34488279321245,41.61152346737147,86.33171360049096,125.65210909735977,201.16787258355512,29.499999999999996
60-69,1month,2020-03-29,132.03962476844256,8.283036312731682,86.76498560231214,129.82619021583645,173.51491640026455,256.5928268061851,104.78571428571429
60-69,1month,2020-04-05,237.93203818046553,111.63775035359352,198.73586654382444,236.92949979471308,278.770457267945,359.3737807660178,223.71428571428572
60-69,1month,2020-04-12,404.74493049091797,281.96029629705237,361.60822109346446,406.13514911067625,452.00213969834454,527.7839859406886,378.5
60-69,1month,2020-04-19,648.6918271585226,517.3013866054397,606.0101002711942,651.7806497045941,692.1628403325441,770.7657683588068,613.5714285714286
60-69,1month,2020-04-26,1069.513756030584,944.3785546123183,1024.939274655107,1068.765931398043,1115.423474836678,1197.3169738547417,986.6428571428571
60-69,1month,2020-05-03,1483.476729581253,1363.6097909969258,1442.634289512761,1482.1210024937131,1525.1250815604485,1611.814690320153,1412.857142857143
60-69,1month,2020-05-10,1678.463210788455,1553.572267495073,1635.2314635063742,1680.2651371975758,1716.841940384937,1797.6552247997492,1698.5714285714287
60-69,1month,2020-05-17,1761.9507827828156,1643.26853284305,1716.024912055342,1760.8686580877131,1804.2531451610696,1891.756207089253,1765.142857142857
60-69,1month,2020-05-24,1739.672465158862,1615.6855491197537,1696.3238582265603,1740.3543324772754,1782.1805955057725,1867.1000863665936,1717.5714285714284
60-69,1month,2020-05-31,1623.799950693855,1494.7905173114768,1578.355671423813,1623.0894126344153,1666.4811465506048,1753.7994087999716,1655.2857142857142
60-69,1month,2020-06-07,1517.4978452224293,1389.7601129688135,1476.052613166978,1518.0969050707863,1561.2450546243053,1640.1325266468705,1594.5
60-69,1month,2020-06-14,1506.0458554078175,1378.7225797146252,1462.163848950351,1508.675166126272,1548.764478735619,1625.8671329498025,1538
60-69,1month,2020-06-21,1479.880201217432,1349.447953047498,1433.1738654070139,1481.7277847584319,1522.5358473374017,1604.1406579588986,1476.9285714285713
60-69,1month,2020-06-28,1421.219192675607,1299.3722478241118,1376.2192679194786,1421.070426939758,1461.8512018549804,1552.801516380352,1455.5
60-69,1month,2020-07-05,1409.7107212941382,1278.3088183540792,1370.7274994941306,1409.8234192762566,1451.5210958600755,1531.0201087774783,1489.0714285714287
60-69,1month,2020-07-12,1493.3310879051444,1363.6095664058448,1450.6743782099147,1492.9465502117678,1534.484052704198,1632.395755968892,1525.4285714285713
60-69,1month,2020-07-19,1572.5068921619888,1447.982709130374,1531.6429182296063,1572.0090770649763,1613.0522401483872,1697.1536750893001,1563.2857142857142
60-69,1month,2020-07-26,1507.0614553451892,1383.4560178473482,1462.3646638604932,1506.9433753365875,1550.894253235837,1638.7543611487604,1564.7142857142858
60-69,1month,2020-08-02,1474.8187050525737,1342.98888603675,1430.4326060156004,1478.1171490015372,1520.3634570089162,1605.1622787315528,1514.5714285714287
60-69,1month,2020-08-09,1417.9343731059653,1296.2158342713071,1376.6005534150183,1418.4005177492204,1461.784837924627,1541.0995582430003,1464
60-69,1month,2020-08-16,1327.8154621900367,1193.733496339022,1282.2378694508077,1325.8051861509546,1372.591262675268,1458.545439839348,1395.9285714285716
60-69,1month,2020-08-23,1271.8571046020716,1139.7569770163886,1229.5376376530098,1270.0564122937817,1317.1843742837373,1398.7864216583496,1274.357142857143
60-69,1month,2020-08-30,1183.3906609799458,1059.7853248173021,1139.8973309568382,1185.397956375607,1227.464493323226,1307.3303875872323,1197.7142857142858
60-69,1month,2020-09-06,1104.717787429639,974.9413840258594,1062.616658557365,1106.6525026273957,1147.9570751031085,1227.4261039374658,1140.2857142857142
60-69,1month,2020-09-13,1035.9007064742304,918.8500378846687,994.0440095096444,1035.8158903345966,1078.0827209713455,1156.7528838688531,1039.357142857143
60-69,1month,2020-09-20,978.1689841556987,850.8494207027162,930.2035273527871,978.5270245281829,1022.4679105949558,1108.102157841986,960.3571428571429
60-69,1month,2020-09-27,941.0212205756567,813.2013731453583,897.8796514434403,940.9872959112158,984.6089963809347,1070.9680504812218,906.6428571428571
60-69,1month,2020-10-04,882.7413515313706,758.9562502770517,841.0031893386188,881.435070918338,925.5468388159014,1003.5365500922885,871
60-69,1month,2020-10-11,800.8988046382135,668.4009994788117,755.4615605848913,800.8641874349865,847.5704258038759,929.9570165446636,797.6428571428571
60-69,1month,2020-10-18,711.2393050007496,577.1465528984054,670.1832406276105,711.2527377150705,755.1974426892717,840.1423613808252,707.7857142857143
60-69,1month,2020-10-25,667.081326941062,547.1102599465393,624.4212020323644,667.3834319097227,710.4236838361892,794.3938893314813,661.6428571428571
60-69,1month,2020-11-01,644.6075744324461,517.3220756106733,603.4153534240024,646.686328779949,685.6100049502418,769.8544651545053,628.7142857142857
60-69,1month,2020-11-08,607.704866491431,477.1997265547723,564.4844107715478,608.0189225136462,652.9516380665684,733.0326160159962,627.0714285714286
60-69,1month,2020-11-15,656.9347651756444,536.7579334749465,615.8409883639986,657.2208136508606,699.7480182358403,774.0593967084094,663.1428571428571
60-69,1month,2020-11-22,751.4118717575391,621.6523077713483,706.6953021514995,756.4008517938403,795.0478734054986,871.9511817965281,734.2142857142857
60-69,1month,2020-11-29,859.66739632025,727.1432304086695,815.2371658295987,861.3382264701467,904.685187213252,980.5299173382793,903.4285714285714
60-69,1month,2020-12-06,1030.6741986118911,900.3427409315382,990.6360610403592,1032.167558531261,1072.0969362541036,1155.6410798322308,1100.4285714285713
60-69,1month,2020-12-13,1215.2792785547365,1098.071154524459,1174.753412906419,1213.859426544856,1255.4804904767536,1350.78220692506,1267.642857142857
60-69,1month,2020-12-20,1338.8791281536253,1215.4015791155307,1297.567851857969,1336.8564355082676,1384.0545269094168,1465.3445453992758,1399.4285714285716
60-69,1month,2020-12-27,1418.4548269359952,1285.7464406463544,1371.2281537298536,1420.0615748681644,1466.5047782997267,1548.7833703050512,1423.7857142857142
60-69,1month,2021-01-03,1477.6571318879344,1343.753894589945,1434.5959653603077,1478.2997560002045,1521.0320923204163,1615.7993218917218,1456.4285714285713
60-69,1month,2021-01-10,1515.3088667880706,1395.3550691682328,1469.1202691602768,1515.3244990628675,1560.0104739209678,1642.9167464901211,1585.357142857143
60-69,1month,2021-01-17,1584.2128182111444,1460.5264180369159,1539.4564655546887,1583.4623682262022,1627.7739126647714,1716.6808554394652,1671.4285714285716
60-69,1month,2021-01-24,1719.094049390848,1590.3176330979786,1675.3177441429723,1720.4265328129015,1763.7881442897742,1848.6290592381363,1682.0714285714287
60-69,1month,2021-01-31,1726.2609037699194,1601.1879086151732,1683.2982457057528,1728.265694103922,1767.6774557186595,1852.619907248771,1680.2857142857142
60-69,1month,2021-02-07,1621.956767859062,1491.1497279379762,1578.910736378382,1623.642615720935,1665.2694527157028,1751.9043826106574,1659
60-69,1month,2021-02-14,1587.3078510926862,1461.0236954565305,1548.487185649324,1588.001624445499,1626.9545347287055,1708.3529813000368,1624.142857142857
60-69,1month,2021-02-21,1691.2786548730558,1573.9013592072517,1648.117099799252,1689.569086930611,1734.3428685550757,1817.9170225043683,1727.5
60-69,1month,2021-02-28,2125.4470124144714,2005.067693640272,2084.6459713777767,2125.9582980514815,2165.3326136526284,2249.11358257797,2126
60-69,1month,2021-03-07,2819.7450575372695,2700.0533980067885,2775.665078743821,2819.678752856581,2865.4793818567396,2937.8488935503915,2778.214285714286
