agegroup,type,week,mean,q025,q25,q50,q75,q975,cases
60-69,1month,2020-02-02,-0.03689445877537403,-4.350886538139893,-1.29997380985781,-0.11479122523128618,1.1035913526096819,4.557889777135038,0
60-69,1month,2020-02-09,0.025993944971839517,-5.117618191026895,-1.1977411987114315,0.06153342367024767,1.2956495649571307,4.700284207236312,0
60-69,1month,2020-02-16,-0.004154636227201338,-4.271532046845928,-1.3125821210377207,0.08760600386586756,1.2051569769199904,4.607216653961032,0
60-69,1month,2020-02-23,-0.044419011737565295,-5.02635451973103,-1.3345196765408651,-0.009710227603788368,1.164177710353408,5.074494334382113,0
60-69,1month,2020-03-01,0.01795159692609816,-4.372328693323367,-1.2341330918677498,0.046843294700098737,1.3075970229989804,4.259217007049302,0
60-69,1month,2020-03-08,0.030175525312747625,-4.982793800029161,-1.1967716289734498,0.07559509863814451,1.3898587743526754,4.4211286117696575,0
60-69,1month,2020-03-15,1.0363617051866707,-3.6818574865092693,-0.18225751554006425,0.9946390788504402,2.254753511961306,5.531369056052604,1.0714285714285714
60-69,1month,2020-03-22,7.556616589438612,3.290486164840297,6.238731909775231,7.476419516411793,8.862314879869388,12.469771392456666,7.5
60-69,1month,2020-03-29,21.040438352377446,16.671481939666744,19.745454024435652,21.01824360826076,22.30204578288031,25.623295763209196,21
60-69,1month,2020-04-05,43.29565562001496,38.90501460933618,41.986730386181584,43.28114216206576,44.460371053803364,48.0259981405875,43.214285714285715
60-69,1month,2020-04-12,85.16047625293152,80.28072838221635,83.8760986568223,85.17769453256079,86.39756080936499,90.21804244662407,85.21428571428571
60-69,1month,2020-04-19,154.95939024369792,150.56771767821346,153.74202848611765,154.88294567136856,156.13925897649307,159.89600041353566,154.78571428571428
60-69,1month,2020-04-26,261.5426541004309,257.0236640827613,260.32826930148155,261.58847176363986,262.8423504221228,266.00664605530835,261.57142857142856
60-69,1month,2020-05-03,388.0179649409043,383.61463683487204,386.7892211806452,387.9523153202242,389.2712262360611,392.78396535368944,388
60-69,1month,2020-05-10,459.06390021064425,454.31813190108994,457.89917890530967,459.1520278426613,460.39921478094334,463.4199314283328,459.2857142857143
60-69,1month,2020-05-17,421.56209588848895,416.7069706317482,420.29342768268197,421.57699767339795,422.93593469738215,425.94023871957245,421.85714285714283
60-69,1month,2020-05-24,341.28458404495007,336.68890507358384,340.01901335062166,341.3051956979876,342.5156804382767,345.8291763734245,341.2142857142857
60-69,1month,2020-05-31,297.83665174478995,292.96946962187957,296.53782395159226,297.8682489361397,299.2053908242261,302.36341471579175,297.7857142857143
60-69,1month,2020-06-07,259.16681948427583,253.71603233482037,257.915105108902,259.2291323143361,260.5322203896657,263.73133735339036,259.1428571428571
60-69,1month,2020-06-14,213.1929798781989,208.01877505654048,211.90011222920114,213.2348447998944,214.51279300988148,217.48355593320773,213.21428571428572
60-69,1month,2020-06-21,178.2311129874022,173.67136775727087,177.02420556695125,178.2607364197837,179.56606244782364,182.54528563654125,178.28571428571428
60-69,1month,2020-06-28,148.74830822861526,144.10573766490893,147.4684394345982,148.75948190118612,150.07892162011845,153.167134872725,148.78571428571428
60-69,1month,2020-07-05,131.40991510885732,126.76104581499929,130.14504504841938,131.4534662107899,132.6659820528826,135.64601681183302,131.5
60-69,1month,2020-07-12,124.62841883040252,119.86370222243607,123.50576623997638,124.63577656831399,125.94373443005199,128.6722564940991,124.5
60-69,1month,2020-07-19,119.2814596495931,114.677557043772,118.05651961635782,119.32404366441959,120.46933347474068,123.80074770352478,119.28571428571429
60-69,1month,2020-07-26,114.16132250399812,109.84779833376761,112.90559685989018,114.14119957384838,115.4085707015314,118.83966095141876,114.14285714285714
60-69,1month,2020-08-02,108.38611952779287,103.53505289763355,107.06298878435881,108.43530836471457,109.6138158199474,112.97947476171132,108.42857142857143
60-69,1month,2020-08-09,105.48937509109795,101.22249374630705,104.14894531909773,105.51300651949359,106.79211492555493,109.93333590621904,105.64285714285714
60-69,1month,2020-08-16,102.04041415605754,97.83552472928197,100.79600700812364,102.06482172940022,103.25271527970926,106.58260089169248,101.85714285714286
60-69,1month,2020-08-23,101.55292478849047,97.1384989286123,100.1899384174626,101.52610433096424,102.83846906379344,106.26504681456152,101.5
60-69,1month,2020-08-30,116.41807847837708,111.8588897705222,115.16632033148356,116.39179779729972,117.68707390133098,120.79240155137721,116.42857142857143
60-69,1month,2020-09-06,121.91165706483586,117.15927600964794,120.69287405774739,121.8954219695974,123.1878225413906,126.74462313575498,122
60-69,1month,2020-09-13,119.35086781996529,115.19699281732993,118.16154314768899,119.28319080030803,120.4673416248611,123.88052943827873,119.14285714285714
60-69,1month,2020-09-20,121.81348836109908,116.94857339245918,120.54652344161192,121.86787673111775,123.0642879214338,126.19018350465493,121.85714285714286
60-69,1month,2020-09-27,117.20737693218918,112.39546583352815,116.04803954930411,117.21925324468941,118.48566245360968,122.16105780613223,117.21428571428571
60-69,1month,2020-10-04,110.91941652892655,105.72829215383314,109.61359292716878,110.96719967228687,112.28240472222917,115.734067542631,110.92857142857143
60-69,1month,2020-10-11,108.18127957678,103.64738369436266,106.96629318312893,108.21554455863014,109.46103018288683,112.43374124021484,108.14285714285714
60-69,1month,2020-10-18,100.08963497141197,95.96514050171528,98.78776969596335,100.14658031574962,101.23652030968547,104.74901913289659,99.92857142857143
60-69,1month,2020-10-25,88.86861668860251,84.15137524273264,87.74038618644802,88.84750147232674,90.14546861162067,93.31122459409004,88.78571428571428
60-69,1month,2020-11-01,90.48376068068535,85.99923517957194,89.30409711302235,90.44729450133514,91.70113666908513,94.92294342539505,90.5
60-69,1month,2020-11-08,111.90584996491341,107.23377519084349,110.6349843485628,111.93452871539452,113.20751528114758,116.18644137610032,112
60-69,1month,2020-11-15,128.86502305464322,124.16447338324448,127.57690962662902,128.82070381788213,130.1841946417474,133.35994936743532,128.92857142857142
60-69,1month,2020-11-22,142.12104524293002,137.81945627679127,140.80610155352963,142.07890269747713,143.3721775820615,147.13267816334024,142.07142857142856
60-69,1month,2020-11-29,174.91728958922167,170.62600312551868,173.68605546997364,174.8309553180203,176.0816771464946,179.79921737988525,174.85714285714286
60-69,1month,2020-12-06,219.14104755366256,214.48083657821314,217.86223062676527,219.0939285239774,220.45783728778852,223.91469609266085,219.21428571428572
60-69,1month,2020-12-13,263.2460375728101,258.3356561531481,262.0097518741408,263.22737006258086,264.5551010566061,267.8995229133076,263.2142857142857
60-69,1month,2020-12-20,291.9909505544302,287.66602540500895,290.65231534078,292.03889928992146,293.23273681030184,296.3711338767834,291.8571428571429
60-69,1month,2020-12-27,287.8667633429808,283.1517468758905,286.6160944983445,287.87707741737756,289.1141856284488,292.4112872780336,287.85714285714283
60-69,1month,2021-01-03,270.78922477037446,265.7459874553955,269.62870579923515,270.80258876814844,272.0501498745467,275.40393003980597,271
60-69,1month,2021-01-10,254.04138792490212,249.75820627760802,252.6773292374154,254.0393720746163,255.2973691146012,258.7512889457339,253.92857142857144
60-69,1month,2021-01-17,225.37798874909677,221.06755801917095,224.09647231706268,225.3352030096084,226.63512592312534,229.9563703763248,225.28571428571428
60-69,1month,2021-01-24,192.4995392262904,187.90975876844976,191.29408021648584,192.4091882370535,193.74593024673123,197.2805574668959,192.5
60-69,1month,2021-01-31,162.68578555439097,158.2889982466454,161.45505515496777,162.72924537153702,163.88249533275444,166.98102401423088,162.78571428571428
60-69,1month,2021-02-07,141.49403833833293,136.21243016567684,140.26285759652757,141.70259237634917,142.89703178003546,146.03551154173687,142.28571428571428
60-69,1month,2021-02-14,133.00818859565786,128.27292193702516,131.72280643352175,133.0817734744964,134.35597291101865,137.86220874173102,134.71428571428572
60-69,1month,2021-02-21,124.012252079307,119.56786764835113,122.61612756560694,123.9683046341247,125.19030759209562,129.57706263328404,127.42857142857143
60-69,1month,2021-02-28,123.68136832063969,119.4096894690939,122.29691974663218,123.57125863257346,125.03687227367072,128.03752487142648,126.78571428571428
60-69,1month,2021-03-07,140.01885815690724,135.57216270047982,138.6189175536083,139.98990812047956,141.29881922141277,144.6125524598998,142.5
60-69,1month,2021-03-14,188.92904678940374,184.40222525371126,187.6363010298872,189.02501604466175,190.16582986403262,193.28966253802105,190.92857142857144
60-69,1month,2021-03-21,273.9351180243066,268.7161948350767,272.75496487105636,274.0518721565893,275.26604226193655,278.1763151903373,275.92857142857144
60-69,1month,2021-03-28,387.11365561143947,382.2693158738236,385.8762173866296,387.245303024555,388.5775503328989,391.4751590043449,390.57142857142856
60-69,1month,2021-04-04,489.69259240864056,484.49957784608523,488.2826063938751,489.7353782500621,491.184025031349,494.3024365376516,497.2142857142857
60-69,1month,2021-04-11,523.4166577672454,515.0432495248174,520.6975172458972,523.3906584511791,526.3461059219012,531.269456777291,544.4285714285714
60-69,1month,2021-04-18,452.4255270155317,426.89572098472763,444.5365868315996,452.46550075612834,460.6402312448726,476.9451366402846,525.7142857142857
60-69,1month,2021-04-25,327.83610906692877,276.4996336877984,311.3603243849541,327.24645228862244,344.94462631944793,378.4993829996504,477.7857142857143
60-69,1month,2021-05-02,257.556652795063,190.14949753225196,235.07875814973195,256.89774416798275,280.5183611325561,323.2749992834194,457.2857142857143
60-69,1month,2021-05-09,241.9711275086428,178.57196696231736,221.13980247446068,241.41871227057084,264.34233372957186,306.15269060061536,430.7857142857143
60-69,1month,2021-05-16,231.45522934625515,174.9814624969788,213.59155052598408,231.5417031635571,249.87736670733534,285.72530984649865,391.42857142857144
60-69,1month,2021-05-23,167.8471645419923,110.68029290028554,149.8561636746447,167.80001149571177,186.61721425152706,222.52359786038997,329.2142857142857
60-69,1month,2021-05-30,129.29944000208366,86.9862312908032,115.4633634810351,129.34814497953974,143.5143174225109,170.90638864391087,252.57142857142856
60-69,1month,2021-06-06,143.0023363778714,121.35675270772768,136.1413639247336,142.89234914038906,150.08644464036834,163.8741941183882,204
60-69,1month,2021-06-13,155.35193700635412,148.62070262848505,153.30271119224741,155.33075153753381,157.43610680100736,162.4007102949536,169.42857142857144
60-69,1month,2021-06-20,136.88284807079222,130.89246013132706,135.0597606020309,136.81673788600995,138.77786418941,142.75965777167758,138.35714285714286
