agegroup,type,week,mean,q025,q25,q50,q75,q975,cases
60-69,1month,2020-02-02,123.84243018816704,-310.5846222609302,-5.563768313596036,124.74200413891077,256.60966369037,521.4539598033391,0
60-69,1month,2020-02-09,115.35160340142069,-274.1005116666864,-22.443579365345176,106.1867525292315,260.47262675159345,514.7356006647107,0
60-69,1month,2020-02-16,131.6908600542212,-261.1445410252973,6.2617050404889945,131.39854505454076,260.33316243569783,530.2752972930477,1.9999999999999998
60-69,1month,2020-02-23,143.28393579176105,-270.1205622821475,10.708540501692266,149.63028991524106,282.1132018051561,544.0995882955839,8.857142857142856
60-69,1month,2020-03-01,164.54888984163563,-193.32945617358274,29.383262737599715,162.1228397758915,289.2314883077597,544.4733296265497,30.642857142857142
60-69,1month,2020-03-08,202.71456396633818,-198.04847206474952,70.12097858124548,203.26701989730105,350.0360789394465,574.0478804412884,92.64285714285714
60-69,1month,2020-03-15,472.0183095865915,97.22547213597556,335.3735474650973,469.39271425929076,605.4217279109552,866.490322796448,344.5
60-69,1month,2020-03-22,910.2902339366599,523.4859057986515,785.8435830774221,913.2924072437532,1039.6001505340853,1285.0092650440508,757.7857142857143
60-69,1month,2020-03-29,1230.5894296223337,827.5058901181662,1097.3148580953202,1233.3604562773237,1361.8727702249657,1631.4225259669356,1049.7142857142858
60-69,1month,2020-04-05,1597.228608543117,1196.2544998045496,1470.1450647976642,1603.3545470164504,1723.6718034467087,2011.4953715168047,1327
60-69,1month,2020-04-12,2203.8824739761426,1824.1163293139243,2058.7532817299057,2208.2384159726107,2343.069144430293,2590.8531382377196,1898.357142857143
60-69,1month,2020-04-19,2993.7991098626785,2634.341470304338,2860.366712513986,2987.196489935266,3124.0964921100926,3386.3418070090715,2768.5
60-69,1month,2020-04-26,3728.930591602867,3323.2304387422305,3604.6565423200354,3730.7953900380235,3855.7617769404255,4108.9583017588175,3539.714285714286
60-69,1month,2020-05-03,4396.225726182645,4021.2637908065853,4269.600072442337,4395.3012565050485,4524.100456846665,4775.889050572851,4209.071428571428
60-69,1month,2020-05-10,4798.326167060203,4419.217591056475,4656.822165074722,4800.212702212291,4937.719011586682,5163.998115472745,4629.642857142857
60-69,1month,2020-05-17,4588.056058918983,4200.819425241792,4462.384667918637,4588.253428147806,4710.115167091186,4980.815729402044,4479.642857142857
60-69,1month,2020-05-24,4088.303716327875,3694.4144113884504,3950.6175764669847,4096.699553261908,4231.592208018377,4471.651925858527,4016.5714285714284
60-69,1month,2020-05-31,4005.0742555914267,3628.9109554647534,3878.6573165068794,4008.8039178311265,4133.496105501628,4380.32788923109,3878.285714285714
60-69,1month,2020-06-07,4206.440509237,3814.905547482076,4079.0166623752416,4208.55937226523,4336.813170960852,4589.341465338598,4069.714285714286
60-69,1month,2020-06-14,4420.446887137136,4050.8266446177477,4286.7661737311555,4421.974831617677,4544.725337006549,4805.54833737372,4197.785714285714
60-69,1month,2020-06-21,4519.401917401446,4137.811149033388,4383.180174320518,4517.4086387292255,4652.461285908298,4914.250768849171,4270.357142857143
60-69,1month,2020-06-28,4496.429849240707,4104.517214270702,4368.1637075786475,4492.794419204059,4629.1294064788835,4875.3535697659345,4345.357142857143
60-69,1month,2020-07-05,4620.940404742721,4244.361579720536,4495.179239462148,4623.04470094678,4744.710103361613,4994.783910478018,4588.5
60-69,1month,2020-07-12,4584.756005185565,4189.994175754106,4455.453118622025,4581.269849178883,4722.10990251171,4962.2512106444265,4670.571428571428
60-69,1month,2020-07-19,4456.849557094912,4079.3457458766707,4325.954797954091,4450.3122243398275,4581.202005049703,4856.670851984602,4503.5
60-69,1month,2020-07-26,4151.046230638394,3764.1432564618594,4018.0964017686665,4149.41355734523,4282.539480883663,4521.119399820692,4122.571428571428
60-69,1month,2020-08-02,3874.851598549547,3496.0687405254926,3750.5199194902307,3871.1751564453816,3998.4973157537142,4254.334612994858,3812.0714285714284
60-69,1month,2020-08-09,3892.926713016683,3510.762521121246,3774.7604842828787,3892.8793508315675,4015.9564474002455,4268.923393942431,3749.357142857143
60-69,1month,2020-08-16,3758.734128026265,3393.415760528105,3623.7066010902763,3758.41687056593,3888.9658030993637,4146.62609894847,3579.6428571428573
60-69,1month,2020-08-23,3395.756292319442,2996.0940147618803,3266.0436823152086,3387.0033658144457,3534.08015360598,3784.5114965040584,3280.5
60-69,1month,2020-08-30,3061.100737462132,2680.9370179776115,2918.1380520997955,3068.0941861124297,3204.408094363738,3424.9314162339406,3083.642857142857
60-69,1month,2020-09-06,2981.7339867511164,2603.1211132378594,2859.5393089572112,2977.26914025844,3114.7390924833976,3356.067713746117,2945.4285714285716
60-69,1month,2020-09-13,2811.7540943481818,2418.7286532470366,2677.8872156915468,2813.6276897183925,2950.5017382899014,3198.2510601516187,2706.6428571428573
60-69,1month,2020-09-20,2569.348307326548,2188.185426413726,2431.960811638282,2571.3711562820827,2700.7480184835545,2922.314577907338,2571.5714285714284
60-69,1month,2020-09-27,2406.130589467431,2009.9169001870828,2266.9101757650114,2407.7823548207252,2543.560677965645,2788.742915757573,2420.785714285714
60-69,1month,2020-10-04,2321.2849850555863,1943.6210606318555,2194.088436580813,2317.974788907759,2444.6730811363122,2684.844230569838,2273.9285714285716
60-69,1month,2020-10-11,2238.314910201691,1857.3761605096988,2107.0205568435717,2237.177803158499,2372.456901826829,2630.571478639155,2192.714285714286
60-69,1month,2020-10-18,2117.3171890880003,1731.8924077740126,1986.00755443199,2123.508154248722,2246.355212520318,2507.8571432531116,2104.8571428571427
60-69,1month,2020-10-25,2087.578258075157,1688.316465129947,1953.2645569440845,2088.218351812048,2228.981047623877,2472.9863109890744,2100.5
60-69,1month,2020-11-01,2382.385541914532,2009.865231887635,2250.789500155348,2379.0815910685315,2512.9280675200002,2757.0367098187608,2337.9285714285716
60-69,1month,2020-11-08,2942.467970865581,2571.718498037198,2810.3737656630587,2939.4655264763596,3073.9557400707804,3340.190455139957,2861.714285714286
60-69,1month,2020-11-15,3454.3745538985254,3060.95854709097,3319.3393893169355,3454.0608509455055,3587.6841845486633,3869.1473200710057,3565.8571428571427
60-69,1month,2020-11-22,3855.661018677244,3505.3887618967206,3713.8339153103934,3844.6917799613298,3985.887810111332,4270.082286397735,4150.642857142857
60-69,1month,2020-11-29,4254.461961084649,3868.688720394595,4127.825397698243,4259.078930129165,4388.922183015286,4621.119637341185,4573.642857142857
60-69,1month,2020-12-06,4480.830741061406,4114.996945302255,4359.362910044275,4482.398222506521,4600.952301638299,4842.862341280805,4823.357142857143
60-69,1month,2020-12-13,4286.124513767148,3901.845705252014,4148.163917987835,4292.097242402474,4415.080130457904,4685.868281334958,4680.142857142857
60-69,1month,2020-12-20,4117.292660897318,3726.381410728977,3985.958307969896,4118.52748013589,4248.15362184738,4509.552415945217,4544
60-69,1month,2020-12-27,4281.764039934691,3905.2710920032846,4143.579956569458,4281.308403688619,4425.622523718581,4659.995529508473,4858.857142857143
60-69,1month,2021-01-03,4976.827026582498,4582.368644373122,4838.604349044324,4986.652091227892,5110.858648594248,5362.93679241023,5537.357142857143
60-69,1month,2021-01-10,5322.948723826459,4941.949768474397,5188.7621339507505,5322.176685797584,5453.136410103035,5699.886881129227,5704.428571428572
60-69,1month,2021-01-17,4949.51357908769,4577.980724240958,4809.364413143856,4950.483978023577,5081.156357992697,5335.886392203798,5204.428571428572
