agegroup,type,week,mean,q025,q25,q50,q75,q975,cases
60-69,1month,2020-02-02,0.06674530063926463,-3.1981028906954307,-0.6628320318467148,0.04039919638060574,0.79650452152264,3.2405586910622395,0
60-69,1month,2020-02-09,0.04316683132027141,-3.181303848033901,-0.626298795048593,0.0204239893092083,0.7500893091279227,2.9940214478178406,0
60-69,1month,2020-02-16,0.4494584998411235,-2.4861885632654466,-0.23771323769377098,0.44652181942623637,1.144111238333402,3.349059076303564,0.5
60-69,1month,2020-02-23,0.4145521731373193,-2.745550840822466,-0.268261198740291,0.4662999817478382,1.1748516063932697,3.410722446675882,0.5
60-69,1month,2020-03-01,0.25767796365610623,-2.6446746120290876,-0.38699791658082633,0.26011993100475983,0.9445800191814845,3.3384449389519486,0.2857142857142857
60-69,1month,2020-03-08,2.8227624859992466,-0.4756335269391987,2.096245454311246,2.8387910140022408,3.5722301507797742,5.930031487054768,2.857142857142857
60-69,1month,2020-03-15,12.279474993685389,8.530755894525491,11.602693501375082,12.30203154632865,13.004062035343777,15.78249106179671,12.285714285714285
60-69,1month,2020-03-22,30.7142245328389,27.77076998419669,30.039685808449086,30.710932511234212,31.356463824907987,33.806275798296056,30.714285714285715
60-69,1month,2020-03-29,48.54100020841994,45.605582026244434,47.82362249760978,48.527355970973126,49.242044857943576,51.444081297002676,48.5
60-69,1month,2020-04-05,80.81440530831026,77.78130083186664,80.09447131721014,80.75758402980613,81.47916677705928,84.25022955421994,80.78571428571429
60-69,1month,2020-04-12,141.49104624963095,138.55239197364736,140.79449808689975,141.46407603006747,142.19001201922106,144.3150926898119,141.5
60-69,1month,2020-04-19,219.96353163378856,217.18382887190762,219.24141966299615,219.93811977339186,220.63189460975659,223.02754613760092,219.92857142857142
60-69,1month,2020-04-26,324.2334400655775,320.95616246402494,323.53520203000375,324.22416405572517,324.9211573497738,327.38971271384287,324.2142857142857
60-69,1month,2020-05-03,462.48161293927336,459.14123255040636,461.86666430969416,462.510904594452,463.1691895416958,465.28690216630093,462.57142857142856
60-69,1month,2020-05-10,510.41626916560443,506.76572476521113,509.74449086032814,510.48236498357835,511.1645444472896,513.3650400647214,510.57142857142856
60-69,1month,2020-05-17,414.3666158754441,411.1600927609475,413.6700369990863,414.4139037527953,415.1243097686473,417.44539160287286,414.42857142857144
60-69,1month,2020-05-24,298.01073877681176,295.1087241527109,297.3670876626032,298.0078095991259,298.71846722595996,300.99219172797467,298
60-69,1month,2020-05-31,230.93382263803224,227.85940169261133,230.27975179299054,230.90427291061494,231.59568723299668,234.0988125884038,230.78571428571428
60-69,1month,2020-06-07,194.78172208751943,191.4750889421293,194.10157403915167,194.75175721765947,195.4730240525535,197.82304210540067,194.71428571428572
60-69,1month,2020-06-14,165.84840074050513,162.93805834836195,165.1655473196992,165.78673612193236,166.46318043101988,169.28953818108133,165.78571428571428
60-69,1month,2020-06-21,142.72796696408992,139.9028222007253,142.0497586339847,142.71755066355206,143.34821542095665,145.75202079337424,142.64285714285714
60-69,1month,2020-06-28,129.92351559318098,126.95751603464498,129.23883555962956,129.9067230287729,130.5540044373396,133.12800284779223,129.92857142857142
60-69,1month,2020-07-05,123.14194109955595,119.77728050564585,122.45016235688351,123.19448039077574,123.93309619323935,126.0501405856415,123.21428571428572
60-69,1month,2020-07-12,103.96720705958141,100.99294930879843,103.31321438630903,103.97306677673899,104.68327446744323,106.72088939960324,104
60-69,1month,2020-07-19,88.12007962311606,85.11011548089712,87.39887319197825,88.13803700115803,88.80141168358486,91.00342600834362,88.07142857142857
60-69,1month,2020-07-26,87.14427735260386,83.93713679987377,86.43380504225817,87.15715035551798,87.8506911948595,90.35183395748406,87.14285714285714
60-69,1month,2020-08-02,80.07795116249363,76.8280118709772,79.4187250274443,80.11328962932912,80.75993262830795,83.20116793602979,80.14285714285714
60-69,1month,2020-08-09,73.49789153108517,70.34939319950962,72.84024859487138,73.54893274806207,74.14971388732887,76.32236185155388,73.5
60-69,1month,2020-08-16,75.89474905598762,72.92061031887246,75.19778982693704,75.88777895876967,76.60049687370571,78.89497535927462,75.92857142857143
60-69,1month,2020-08-23,63.86161586692141,60.93537066791327,63.18897186719947,63.87229068914419,64.55180291887419,66.72489894203481,63.85714285714286
60-69,1month,2020-08-30,52.25224681946953,49.07485760250091,51.61623658164237,52.24603879531443,52.974590139202704,55.204271567517594,52.285714285714285
60-69,1month,2020-09-06,56.01411794858116,53.01034700767192,55.287887274242834,56.00711385502942,56.74485742890659,59.53335484182952,56
60-69,1month,2020-09-13,59.99878942799866,57.35140291843375,59.2597354368991,59.92518282407906,60.65365064980004,62.857944117222104,59.92857142857143
60-69,1month,2020-09-20,55.334376350140154,52.42529119302319,54.658020926532615,55.34402690894463,56.06082319005369,58.340974948143746,55.42857142857143
60-69,1month,2020-09-27,52.777255773754575,49.708613629793255,52.051054454846295,52.725388377083625,53.48694811792839,55.79038470133366,52.714285714285715
60-69,1month,2020-10-04,47.88580972073442,44.87391752778309,47.180549125694384,47.80843110845868,48.5701537222575,51.048493167160295,47.85714285714286
60-69,1month,2020-10-11,44.124695852867056,40.85096359956367,43.44166184451362,44.18263872471717,44.86946879541517,47.08293272944184,44.214285714285715
60-69,1month,2020-10-18,46.96803769364386,43.84645681777008,46.27238964171271,46.98248866059631,47.660439327378164,50.08152528690647,47
60-69,1month,2020-10-25,49.44379727661326,46.707476052691376,48.74721639685169,49.42608687273815,50.07580737973469,52.49358407761702,49.42857142857143
60-69,1month,2020-11-01,48.28470156630664,45.48496574095338,47.629006927212224,48.22216568326277,48.96840253498022,51.296822203698156,48.285714285714285
60-69,1month,2020-11-08,50.9056963278148,48.03512171399057,50.21463375393566,50.925563487119085,51.62576940639908,53.87076563395584,50.92857142857143
60-69,1month,2020-11-15,59.8619375000893,56.88927146566997,59.192962877636134,59.84769387980819,60.556734222671516,62.905190137197444,59.92857142857143
60-69,1month,2020-11-22,57.29007183681512,54.536137894866805,56.54390417146517,57.21177968585674,57.94522636746957,60.470115461079224,57.285714285714285
60-69,1month,2020-11-29,56.88957817874314,53.60855958586447,56.22844516586991,56.918190143560594,57.60297069482415,59.907676529229974,56.857142857142854
60-69,1month,2020-12-06,64.75441710192193,61.77269194145314,64.0539786778047,64.74157861296064,65.43813015606985,67.80944744443391,64.78571428571429
60-69,1month,2020-12-13,73.51436253609518,70.47821220967843,72.79422945859156,73.44219777172819,74.21149376823561,76.73532808953686,73.5
60-69,1month,2020-12-20,71.62725195638644,68.81882937052532,70.92994828551167,71.62456465723143,72.2772946011759,74.96706552375953,71.64285714285714
60-69,1month,2020-12-27,65.78473505754182,62.67168890484016,65.1104205958319,65.81301643997483,66.56853695482997,68.64123571552825,65.78571428571429
60-69,1month,2021-01-03,80.68406407402504,77.29753975453094,80.02820998771213,80.72315178463728,81.44122950886813,83.70262187765243,80.71428571428571
60-69,1month,2021-01-10,99.85810608565852,96.7502069339503,99.26454825430999,99.90422317035038,100.52051384810825,102.78318539427791,99.92857142857143
60-69,1month,2021-01-17,112.1852259864002,109.25118845218819,111.51650972577099,112.18640166202803,112.87273629565738,114.9067897966205,112.21428571428571
60-69,1month,2021-01-24,121.43815065488525,118.28514281063926,120.77719015501559,121.47344863163018,122.1575533915042,124.3440182540699,121.5
60-69,1month,2021-01-31,148.58755309036718,145.77610088102097,147.86983242757896,148.575466050901,149.29038566466892,151.43122392279372,148.64285714285714
60-69,1month,2021-02-07,204.4343469894116,201.28903974738668,203.70332658087153,204.41599525664572,205.15916243617357,207.8850956547566,205.35714285714286
60-69,1month,2021-02-14,267.1639948243677,263.69134523562116,266.18587833171915,267.1364873101132,268.10773482498496,270.66621567534827,270.07142857142856
60-69,1month,2021-02-21,321.9957911649434,316.9541352218405,320.335410832314,321.9391699192515,323.58035168368474,327.4359204628465,327.57142857142856
60-69,1month,2021-02-28,406.0458906354119,399.2487568921885,403.68777956439766,405.9411135235059,408.3733945997977,413.72802809987024,415.07142857142856
60-69,1month,2021-03-07,483.77605936511316,477.12618150622427,481.40727170020836,483.7230178000807,486.1572026982509,490.9840564486526,492.57142857142856
60-69,1month,2021-03-14,496.9848022246526,492.74483105106503,495.4531672019068,496.9856065410322,498.40677012818844,501.59169022295856,502.14285714285717
60-69,1month,2021-03-21,462.39537124572337,458.9152881701197,461.31846512962943,462.3997486606105,463.46606099617503,465.9988126265744,465.2857142857143
60-69,1month,2021-03-28,424.1515137227109,420.80324423465714,423.10217049255635,424.0831756449635,425.1026041951074,428.1143262457141,426.92857142857144
60-69,1month,2021-04-04,447.403393506093,441.2075353756923,445.39586180273045,447.3852463547561,449.4628693512771,453.36303997255044,454.7142857142857
60-69,1month,2021-04-11,420.5846819316217,404.61062972296986,415.09438432398304,420.5431466143727,425.8682024448897,437.0390764835098,442.7142857142857
60-69,1month,2021-04-18,295.8693583966877,251.6635686950737,280.3761209922201,295.7207242642822,311.51510380100416,343.53427882324655,358.6428571428571
60-69,1month,2021-04-25,193.2959332429836,113.71781562489281,166.51060564319238,192.64687270819746,221.17065114164006,278.21705137820544,304.14285714285717
60-69,1month,2021-05-02,108.26069116210891,-2.868558269510956,69.61750273583812,107.65589484459215,147.21606072047192,227.54231295178832,264.7142857142857
60-69,1month,2021-05-09,52.661270663942425,-63.82573223801505,11.67905278040608,52.21415035939698,93.92240438454752,176.44997501533024,217.28571428571428
60-69,1month,2021-05-16,41.665420185054714,-44.32477056940827,11.779974348644476,41.3815461372683,71.98856734161375,132.2286821458373,162.14285714285714
60-69,1month,2021-05-23,37.993561754278716,-20.392809128722327,18.136367864343754,37.7119257356502,58.135763477147925,97.6176256649082,118
60-69,1month,2021-05-30,43.48339987104154,8.887224855599642,31.347591424289735,43.539968929506585,55.328922145107065,78.74061256870972,90.14285714285714
60-69,1month,2021-06-06,48.31701241221481,32.285150743559704,42.6900596158082,48.211089065849244,53.857025770044636,64.95586926514281,70.21428571428571
60-69,1month,2021-06-13,54.82330370117107,44.55924328630923,51.2925416850789,54.98499297772564,58.07548742234742,65.1626643228866,61.214285714285715
60-69,1month,2021-06-20,50.298526380251154,18.638053048512422,39.28378103092396,50.33953361890248,61.282358557982576,81.77357978981493,55.07142857142857
60-69,1month,2021-06-27,36.91306617351055,-35.96054295023583,11.612334281169185,37.50856329614294,62.04197241194368,106.45296405214886,44.57142857142857
60-69,1month,2021-07-04,18.0720841508744,-114.73586243413727,-27.869743495779623,19.066465853446907,64.8628651608817,145.13674269859615,30.785714285714285
60-69,1month,2021-07-11,8.658379520678206,-161.6845779077138,-50.6344886782926,10.69114663373619,68.29006067711757,174.48937235893467,24.571428571428573
60-69,1month,2021-07-18,6.83324360629277,-156.32671818316234,-50.45956613915657,8.953368696029415,63.82585727408514,163.9286953898376,21.928571428571427
60-69,1month,2021-07-25,2.902667078770232,-114.87629599470935,-37.52431896868565,3.978220479407503,43.98370551491835,117.93787393071685,13.857142857142858
60-69,1month,2021-08-01,4.426466103513606,-70.22056933888027,-20.736747321474887,4.815580586502874,30.233989737480478,76.56963550181005,11.285714285714285
60-69,1month,2021-08-08,8.407385973457997,-29.729922578387562,-5.038082590820167,8.59809761134261,21.74769185507445,45.61356560014575,12.071428571428571
60-69,1month,2021-08-15,7.542578637296778,-10.917346921736964,0.8273598291394598,7.876997451564307,14.196430210958809,26.404278879915335,9.357142857142858
60-69,1month,2021-08-22,8.338475020334283,-1.5415374723606243,4.836247746016953,8.359264760793145,11.855020167133539,18.511483452031378,9.285714285714286
60-69,1month,2021-08-29,10.685616451316113,5.1061175670965575,8.827107452109914,10.7270746640258,12.582538245873222,16.45785667906708,11.214285714285714
60-69,2month,2020-02-02,0.1258669609395716,-3.076548346173887,-0.584372371501473,0.07872246212453005,0.7791008452350786,3.539921845717926,0
60-69,2month,2020-02-09,-0.0014101274241573709,-2.8580268846662324,-0.7165760701925956,-0.019817363637134794,0.7018798678326272,3.1397478463467916,0
60-69,2month,2020-02-16,0.46595390014359245,-2.882710100009055,-0.2016387947812402,0.4930955509284211,1.1554436253109113,3.693535690553966,0.5
60-69,2month,2020-02-23,0.43893798217360536,-2.648827442949554,-0.2460505704534999,0.47570816545648686,1.1672866899631098,3.3118528424544786,0.5
60-69,2month,2020-03-01,0.25990088771892883,-2.4346713254514434,-0.4256516256907048,0.28457654445268576,0.9193877969980704,2.8807043550781275,0.2857142857142857
60-69,2month,2020-03-08,2.8453270837883404,-0.3179776238632721,2.2040291343135796,2.8630290267249654,3.5607876470949846,6.142828452920315,2.857142857142857
60-69,2month,2020-03-15,12.258287344098214,8.683437862586707,11.565219351342945,12.320122816788508,12.998152229568717,15.213567112345965,12.285714285714285
60-69,2month,2020-03-22,30.748572970666206,27.567235685275804,30.054835054141854,30.724218998158904,31.44035420887436,34.16169192416176,30.714285714285715
60-69,2month,2020-03-29,48.43205633777133,45.55840249904786,47.74524181942841,48.49960357131309,49.13427973377316,51.10813726103773,48.5
60-69,2month,2020-04-05,80.74206862343878,77.60166891633135,80.05529295603975,80.74886669897263,81.50091508797989,84.0096650674437,80.78571428571429
60-69,2month,2020-04-12,141.4737087832099,138.4038084183661,140.76968763511582,141.46344553913298,142.1649642119787,144.50541108648355,141.5
60-69,2month,2020-04-19,219.87940544917424,216.94066547198904,219.17018057694204,219.90776969797554,220.58998090124936,222.71780327907706,219.92857142857142
60-69,2month,2020-04-26,324.2476347267116,321.3015574020828,323.49045233620933,324.17835408771884,324.96241523755,327.36919467288607,324.2142857142857
60-69,2month,2020-05-03,462.4673974342056,459.0503887777724,461.8387389962891,462.53529619029763,463.17471803403043,465.2367937248186,462.57142857142856
60-69,2month,2020-05-10,510.47794039161073,507.4105662752982,509.7808831849119,510.49683713348907,511.15785592169004,513.4561740820784,510.57142857142856
60-69,2month,2020-05-17,414.4266847066843,411.36982603050205,413.6592246247786,414.4294946877375,415.14719904073024,417.46960928386176,414.42857142857144
60-69,2month,2020-05-24,298.0433423532423,295.1844434047112,297.3215804176263,298.0609499019177,298.71187235291757,301.3149459671524,298
60-69,2month,2020-05-31,230.83433665383387,227.55969530760458,230.1491934857305,230.84354297881245,231.50330299188488,233.7115110638434,230.78571428571428
60-69,2month,2020-06-07,194.77926268450432,191.88203767605364,194.12601076829162,194.73754398065438,195.4158512644016,197.78698130635615,194.71428571428572
60-69,2month,2020-06-14,165.8534443051753,162.93678451969055,165.10867476856274,165.78987555358486,166.49020746359355,169.16563178635423,165.78571428571428
60-69,2month,2020-06-21,142.6991290729761,139.46570461330452,141.96236398622904,142.69969343246208,143.39722421359437,145.88485249541063,142.64285714285714
60-69,2month,2020-06-28,129.85256226116093,126.73385905408571,129.21063407792488,129.84602877536565,130.57054803543681,132.66906808241922,129.92857142857142
60-69,2month,2020-07-05,123.19505199405135,120.26140167431669,122.5917301281563,123.22022791911968,123.88196925333546,126.00338339733896,123.21428571428572
60-69,2month,2020-07-12,103.9972775986905,101.21260445899722,103.28704007932275,103.9561029622426,104.6740035475968,107.49545149072691,104
60-69,2month,2020-07-19,88.08920395084412,85.09815027235797,87.37782987515537,88.09180898061122,88.83250939705627,91.1372575186721,88.07142857142857
60-69,2month,2020-07-26,87.16584535379414,84.32146329742366,86.46733678520513,87.16161729828895,87.79837805699296,90.47308246721164,87.14285714285714
60-69,2month,2020-08-02,80.10426044898783,76.98958000068615,79.40517709441487,80.07849595479706,80.79881202747973,83.52547273337088,80.14285714285714
60-69,2month,2020-08-09,73.5002800703668,70.52281242545152,72.8150792361324,73.45150249704795,74.15417505748302,76.62515697646835,73.5
60-69,2month,2020-08-16,75.91338755276642,72.94064613064786,75.21378921728726,75.87482940015965,76.5825148670193,79.18134777649598,75.92857142857143
60-69,2month,2020-08-23,63.8713815668863,60.50427133984467,63.219001042241544,63.86099502570284,64.58115514813781,66.8345077854823,63.85714285714286
