agegroup,type,week,mean,q025,q25,q50,q75,q975,cases
60-69,1month,2020-02-02,44.069186047115,-177.56511551364065,-36.056413243027485,48.34990851185871,112.72718539306814,267.42358587444824,0
60-69,1month,2020-02-09,43.21732012323483,-184.2192095633534,-30.21268995855693,43.949070668439454,116.94729912603124,266.4674296469833,0
60-69,1month,2020-02-16,44.17784112907499,-181.1938132336571,-31.420170049278298,49.61996006406472,116.4642068439206,258.35699520226143,0
60-69,1month,2020-02-23,45.5421090163107,-182.4777464349611,-39.05980346167563,45.58619790317146,122.04838737835776,275.09563091575643,0
60-69,1month,2020-03-01,49.04277860502823,-174.24767586147755,-23.962330748179834,47.92101545540069,121.37050156261392,258.13697754918314,0
60-69,1month,2020-03-08,40.72068227965577,-191.03055724087082,-34.16784510697677,37.6799148879008,114.46265374169079,276.01635267341413,1.357142857142857
60-69,1month,2020-03-15,42.83852877606222,-173.04112411934597,-35.92283466995848,45.443494962849826,113.62147246151392,263.29365865740726,10.714285714285714
60-69,1month,2020-03-22,67.7638733708301,-162.0961283037451,-9.177204250556692,69.9786616328492,145.89480722787582,285.32600684015307,19.285714285714285
60-69,1month,2020-03-29,72.58295212131351,-151.82356348456622,-2.418116892475613,72.82352145181216,146.75841372381325,292.5500484016477,18.785714285714285
60-69,1month,2020-04-05,58.29719148813404,-164.99106857150534,-22.139505591301305,60.333316885859546,136.4802509033059,282.7995402820094,17.07142857142857
60-69,1month,2020-04-12,63.22759526725571,-154.63509563320082,-13.994492382847413,68.25582755146264,140.66367740160558,279.01340384706924,19.285714285714285
60-69,1month,2020-04-19,104.9349822015142,-119.79675069342845,24.48612155546166,103.59857293217442,176.73627622859092,345.8202500782205,30.357142857142858
60-69,1month,2020-04-26,130.4382292929991,-88.26272891255188,50.10563516853478,131.4943198084885,211.64236823841145,355.98579751317135,38.64285714285714
60-69,1month,2020-05-03,107.67043834170228,-103.0403710434837,39.949340981404504,113.35496787957032,178.3672501850709,314.80250614693045,39.785714285714285
