agegroup,type,week,mean,q025,q25,q50,q75,q975,cases
60-69,1month,2020-02-02,-1.4253013550460713e-4,-0.02767390566740117,-0.006755555360559569,-5.431273029597025e-4,0.007140704779475678,0.027647579331928122,0
60-69,1month,2020-02-09,8.944314045759972e-4,-0.028857067789211367,-0.006254797383005693,4.5142242049027036e-4,0.00798126852006098,0.03227631488962263,0
60-69,1month,2020-02-16,2.0360000591420867e-4,-0.027900728824792637,-0.006959274040538293,1.7926990232507663e-4,0.007035379846201478,0.03087892230089181,0
60-69,1month,2020-02-23,7.28188457812543e-4,-0.02926739230771518,-0.006176720366722238,6.203839082411222e-4,0.0075464205188198515,0.03470687748730121,0
60-69,1month,2020-03-01,1.553845224008013e-4,-0.030162821578926212,-0.006787339623488349,1.2373899243770577e-4,0.007476535612431326,0.031047477395466122,0
60-69,1month,2020-03-08,3.306297677012931e-4,-0.029698099532924863,-0.0067202237353192204,4.203675439347135e-4,0.0080548919385907,0.028116107028467823,0
60-69,1month,2020-03-15,0.0011268094624166055,-0.026213677500051675,-0.006301628423137409,0.0012214697352643591,0.008318797610300906,0.033433891799948635,0
60-69,1month,2020-03-22,0.072193222834172,0.04544528155725473,0.06527393830433667,0.07191608966722393,0.0781603120824337,0.10518651639518048,0.07142857142857142
60-69,1month,2020-03-29,0.5000661401289992,0.47377364594305493,0.49285661845885553,0.4995452473015545,0.506437489101745,0.5321022640238834,0.5
60-69,1month,2020-04-05,0.7857690544272122,0.7613264577168675,0.778251716211442,0.7856156502029125,0.792978320465743,0.8151989181968159,0.7857142857142857
60-69,1month,2020-04-12,1.7853141947001325,1.7540860165494916,1.7782054101935105,1.7854124908934201,1.7926604747949195,1.814145769426545,1.7857142857142856
60-69,1month,2020-04-19,2.214358953165431,2.185237460745464,2.207235384660601,2.2141250952238556,2.2212644937186097,2.246376408431901,2.2142857142857144
60-69,1month,2020-04-26,3.285610925621522,3.257512553303263,3.278596213824462,3.285333363484982,3.292557047108814,3.3148141022462987,3.2857142857142856
60-69,1month,2020-05-03,5.357279212567303,5.32760803429944,5.350250823024304,5.357517604244428,5.363969241892603,5.386253732193895,5.357142857142858
60-69,1month,2020-05-10,6.857407932524435,6.827055975329738,6.84996552189385,6.857335966398255,6.864531981649179,6.8878977165290785,6.857142857142857
60-69,1month,2020-05-17,7.714445241816077,7.681809646299383,7.7076888638559,7.714660651825605,7.720974785350423,7.744064263641404,7.7142857142857135
60-69,1month,2020-05-24,11.500446051798702,11.469911844373222,11.492833120105654,11.500659368923856,11.50735393711339,11.529340708996616,11.5
60-69,1month,2020-05-31,18.35720606772422,18.32712291018033,18.35028465547729,18.357106072020947,18.36385711247548,18.390709596613483,18.357142857142858
60-69,1month,2020-06-07,28.356602551677884,28.32105056098068,28.34969460798108,28.357351689917518,28.36451088890705,28.38302556684942,28.357142857142858
60-69,1month,2020-06-14,37.57087585527873,37.54158366973914,37.56396706023157,37.57038612259194,37.578134221835114,37.599570262597034,37.57142857142857
60-69,1month,2020-06-21,35.92880394572203,35.89853111417109,35.921832632871826,35.92887341370894,35.93563744745001,35.959214837591716,35.92857142857143
60-69,1month,2020-06-28,40.357231895361714,40.326724753486644,40.350167842458035,40.3573965083304,40.364740212067105,40.38942371045392,40.35714285714286
60-69,1month,2020-07-05,41.499757770977865,41.467671903670045,41.492732649119105,41.49994103784496,41.5072944667195,41.530993122231806,41.5
60-69,1month,2020-07-12,30.999835220810773,30.969451420504317,30.992955036543687,31.000129334154074,31.006822552110087,31.02872743036554,31
60-69,1month,2020-07-19,23.928748499759422,23.900259682922897,23.92207527570251,23.92916701945032,23.935697544735696,23.957428143674097,23.928571428571427
60-69,1month,2020-07-26,18.28678251116503,18.2590415077744,18.278846239229242,18.2861976737344,18.293420831138832,18.319815338779733,18.285714285714285
60-69,1month,2020-08-02,13.999792457360886,13.970826626125941,13.992318206177684,14.000287791472521,14.007029971723247,14.030288619981231,14
60-69,1month,2020-08-09,11.642405665349889,11.61457414304336,11.63514798102156,11.642758698237486,11.649983970944877,11.669815347262906,11.642857142857142
60-69,1month,2020-08-16,12.285446806360937,12.255275912063366,12.278091179374966,12.285625929873184,12.293079172579462,12.314360617934888,12.285714285714286
60-69,1month,2020-08-23,10.786231581715379,10.755897901867174,10.778977308854962,10.78628433758983,10.79288277357994,10.814988230406378,10.785714285714285
60-69,1month,2020-08-30,7.143665654077314,7.114605173775359,7.136113908176872,7.143575935579399,7.150947442433218,7.177627965071115,7.142857142857142
60-69,1month,2020-09-06,5.7139919323084385,5.683152273625356,5.706786000681923,5.714208235702078,5.721745365367061,5.740322299203286,5.714285714285714
60-69,1month,2020-09-13,4.428799881185915,4.399616068231542,4.421090369446853,4.429078549832129,4.435976555103166,4.455854884871045,4.428571428571429
60-69,1month,2020-09-20,3.1429005913048913,3.1129030518361347,3.1353050242134732,3.143172418153538,3.150311716710098,3.1754194905104196,3.142857142857143
60-69,1month,2020-09-27,2.5714220076071976,2.5414875359457128,2.5637624859061545,2.5710584575971644,2.5786179356710646,2.605149045098212,2.5714285714285716
60-69,1month,2020-10-04,2.57086436244098,2.5404170485144606,2.563985092447578,2.5711038593728714,2.5781540681644892,2.598939938295997,2.571428571428571
60-69,1month,2020-10-11,3.500585266471971,3.47147952042276,3.4930059833482963,3.5003971069504694,3.5072433564272605,3.5334522712058263,3.5
60-69,1month,2020-10-18,2.7150662453975265,2.687637394130888,2.70781262566402,2.714446171249124,2.7220935039621703,2.746707160331882,2.7142857142857144
60-69,1month,2020-10-25,2.143454461553082,2.1167499227644115,2.136254154629577,2.1429115441822955,2.1506588682826893,2.1726453488720288,2.142857142857143
60-69,1month,2020-11-01,2.2150892893393,2.1854222939425343,2.2075010117521106,2.215274461399967,2.222602421625238,2.2471657102973044,2.2142857142857144
60-69,1month,2020-11-08,2.1431113432305056,2.1157496663845765,2.135793629325322,2.1427228378413528,2.1500902910963284,2.1704262232588367,2.142857142857143
60-69,1month,2020-11-15,2.785339236355566,2.755787111859648,2.7785144016258125,2.784833140237689,2.7928252260811726,2.8133527320870853,2.7857142857142856
60-69,1month,2020-11-22,2.4991366603585927,2.46970841256733,2.492418201531293,2.4996087284457253,2.5064858847000346,2.5249118993951574,2.5
60-69,1month,2020-11-29,4.928447663883096,4.8973818781217995,4.920890456210764,4.928862613183233,4.936029251084109,4.958218606021429,4.928571428571429
60-69,1month,2020-12-06,10.570736247279081,10.536206080270352,10.563661696995016,10.570444796927337,10.578079269920789,10.601398996177409,10.571428571428571
60-69,1month,2020-12-13,11.92900929000702,11.899495653576766,11.922123932423196,11.928656538328935,11.935894802789532,11.96328328095551,11.928571428571429
