agegroup,type,week,mean,q025,q25,q50,q75,q975,cases
60-69,1month,2020-02-02,8.867119758340946e-4,-0.028516107454662393,-0.007397876732834749,0.00024394713545133073,0.008209477184800546,0.03559365333856816,0
60-69,1month,2020-02-09,6.349466669161641e-4,-0.033137428950880954,-0.006433993346226967,0.0010897550231260648,0.007609541756173378,0.033711705531614726,0
60-69,1month,2020-02-16,4.8676410661796526e-4,-0.03432483192955993,-0.006936881548148688,1.5639186128244887e-5,0.007776513006468028,0.034449003736979886,0
60-69,1month,2020-02-23,3.4699117505377947e-4,-0.030357099077539043,-0.008173373651463398,3.455164937683949e-4,0.007751946163854465,0.035856377016469834,0
60-69,1month,2020-03-01,3.322639051364763e-5,-0.03194586030796424,-0.0071391324065843325,1.3278714477475695e-5,0.007543511377381501,0.03275009281129955,0
60-69,1month,2020-03-08,8.390676528829779e-5,-0.03222515437552076,-0.007763008586341177,2.8579658319832644e-4,0.007865736457373752,0.02956862560431056,0
60-69,1month,2020-03-15,-5.684015359113053e-4,-0.034501865306144304,-0.008356358029857201,-6.664528742958424e-4,0.007458890174526656,0.03297139535193678,0
60-69,1month,2020-03-22,7.864408668840231e-6,-0.03029828646218776,-0.007149405920061896,1.7667252221746166e-4,0.007735609836573253,0.02986459626637865,0
60-69,1month,2020-03-29,6.973946228456192e-4,-0.02988708974323942,-0.0070274311456519035,4.4795548516391364e-4,0.008160716321687064,0.03369010800031302,0
60-69,1month,2020-04-05,1.0001927592792066,0.9698347019543074,0.9918514232800856,0.9997557150415143,1.007979764025831,1.0302304397341098,1
60-69,1month,2020-04-12,9.42890536137151,9.397496947849044,9.421194694608051,9.429201576655476,9.436065937733133,9.459303648867792,9.428571428571429
60-69,1month,2020-04-19,38.49944392792578,38.46590220384807,38.49225084556781,38.499697468182106,38.50794601765272,38.530391459193226,38.5
60-69,1month,2020-04-26,96.64200972405938,96.6070641838533,96.63467429132984,96.64175193072802,96.65045120179364,96.6734944411164,96.64285714285714
60-69,1month,2020-05-03,163.28586927078163,163.25137096207442,163.27786532503617,163.28577310048513,163.29359618598045,163.32013861317293,163.28571428571428
60-69,1month,2020-05-10,187.07198936113355,187.03818033578696,187.06389527587774,187.0719983659148,187.07998382964496,187.10845515558822,187.07142857142856
