agegroup,q025,q50,q975,mean
50-59,3219.2858886375916,5141.719932876074,6952.077732524137,5137.457081941112
60-69,29863.703782376506,32374.274612723355,34920.96876972671,32327.39488892031
70-79,38072.34884627249,40841.38144681559,43537.422988612816,40802.62589478097
80+,42804.99548010508,46339.19635953529,49537.27302930272,46247.8041953951
