agegroup,type,week,mean,q025,q25,q50,q75,q975,cases
60-69,1month,2020-02-02,59.77735539013482,-69.65072722581476,17.957361250521583,57.55269672566281,101.0557955039775,188.37021605994036,0
60-69,1month,2020-02-09,57.487541644234604,-75.2474637372087,12.237518293811807,58.27899782331059,102.92651285300289,184.4129727408331,0
60-69,1month,2020-02-16,57.44692047289798,-78.94439567101855,13.113284291204037,60.19289667202048,101.10734067425032,187.07365584155806,0
60-69,1month,2020-02-23,55.72093712393848,-56.2944401087591,10.62403648296883,54.81154338348668,98.83591935838598,172.6520095469281,0
60-69,1month,2020-03-01,56.306655005449024,-64.90979176839998,12.528378803176011,54.83604092642165,99.46581429447235,183.9983447893324,0
60-69,1month,2020-03-08,58.87328335137385,-67.93194429222906,15.661318147974118,56.56329373486986,103.38720674688736,193.9647619081358,0
60-69,1month,2020-03-15,61.641432989401935,-68.92851334604998,18.88742128845648,63.29806237753701,104.85466292846291,182.96444564816744,2.4285714285714284
60-69,1month,2020-03-22,74.29265673653705,-46.8591787237283,31.59595414228227,76.20188956817123,116.64014332002375,190.79085855629296,20.07142857142857
60-69,1month,2020-03-29,96.72373440929573,-25.84552739104539,51.40203072262415,95.05138813485152,138.17026495595766,220.41157763837964,69.5
60-69,1month,2020-04-05,143.62159888546904,17.9474233980329,104.58832349578898,142.41097644480766,183.6584207773602,264.2671306554346,129.5
60-69,1month,2020-04-12,186.0879403031852,61.50459584740334,142.00891102302205,187.63585152552164,232.88607534630356,307.9210273734281,159.78571428571428
60-69,1month,2020-04-19,207.29889037442405,77.3369859096284,164.9692418989888,210.2813236688753,251.03114398042896,328.083681198516,172.35714285714286
60-69,1month,2020-04-26,296.32489163616526,172.4700486620607,252.01396501210064,295.76762492733707,343.21532909793683,424.0745736912958,213.42857142857142
60-69,1month,2020-05-03,338.89049967873405,217.9857834327209,298.8737772068543,337.4460156445966,380.24178167958445,465.53536550607623,268.2857142857143
60-69,1month,2020-05-10,300.6073850236979,176.1618211783929,257.85458860225924,301.9052163572054,339.9613794950618,418.35924753476706,320.5
60-69,1month,2020-05-17,362.8897254879981,245.6948933642182,316.60257581591156,362.3697577021358,405.61952382683637,492.6103099295083,365.7857142857143
60-69,1month,2020-05-24,409.8667966788106,286.26258525774756,366.58556903972294,410.88405256757164,452.34728281365,539.2625439966819,387.85714285714283
60-69,1month,2020-05-31,377.3039987854065,248.0734361855122,332.0451167508052,377.0961849531096,420.9534251538901,508.2917016203306,408.85714285714283
60-69,1month,2020-06-07,354.3531925060732,228.17493361652424,312.46109698799035,354.97974093591404,398.64008623386417,478.44976752013326,431.35714285714283
60-69,1month,2020-06-14,408.5796361334368,281.57335487564734,363.92218122661745,410.82446742476867,450.99331447098905,528.6279944996512,440.5
60-69,1month,2020-06-21,435.5027732874022,306.0284781763824,389.02801368173846,437.2365564080598,479.5640576208525,560.2596966683133,432.5
60-69,1month,2020-06-28,385.11385322366874,264.04455361010656,339.62169688897797,384.8563113160541,424.4415586824306,516.3271946313578,419.35714285714283
60-69,1month,2020-07-05,344.15295076521016,212.20858542098944,304.93637333386135,344.1597589546816,386.06693351769707,466.51246375175333,423.42857142857144
60-69,1month,2020-07-12,393.9652316541668,263.9278510428944,350.63958123786654,393.97022843759396,435.78901522952634,531.6043667748133,426.2142857142857
60-69,1month,2020-07-19,448.22165625222004,323.5152328802704,407.31420918335607,448.6502125382324,489.67658783863084,572.9739416615489,439
60-69,1month,2020-07-26,390.0318573879622,268.1876869123715,345.64772476400947,390.74515881129724,434.14463498178526,520.2151432504177,447.7142857142857
60-69,1month,2020-08-02,389.19376154100087,256.7110034143722,345.5732004298684,392.28558656433813,433.88682281291574,518.9588788803607,428.92857142857144
60-69,1month,2020-08-09,381.4732933330782,260.2046730763372,338.93829027029346,381.94905094887895,425.1153991404344,503.94354252069553,427.35714285714283
60-69,1month,2020-08-16,342.34081985753664,208.304880555922,296.979529386892,341.5747674373025,387.4305451431834,472.91086365535506,410.64285714285717
60-69,1month,2020-08-23,352.9398324576597,220.43910266055445,310.6891723038727,350.9579443784859,398.2893715998285,479.57880561883417,355.5
60-69,1month,2020-08-30,304.5554625314567,182.2090185474049,259.9856064350107,306.85583577385734,348.0740002431661,428.433935402076,318.85714285714283
60-69,1month,2020-09-06,260.310847154288,131.17214829227453,219.39901624776147,263.0225170996738,303.16738951889863,383.58260480768894,295.7857142857143
60-69,1month,2020-09-13,265.684333834643,147.32648280645404,223.9014504961671,264.8154250598378,308.07032523386715,386.26343257015964,269.35714285714283
