agegroup,type,week,mean,q025,q25,q50,q75,q975,cases
60-69,1month,2020-02-02,-1.2042955604929734e-4,-0.030056879666950576,-0.007222326684700823,-4.6902430138495005e-4,0.007413503058548351,0.03337747199024792,0
60-69,1month,2020-02-09,-1.1981081626176262e-4,-0.02754754772424858,-0.0072004366800315295,1.4419750043308743e-4,0.006722346661577715,0.027606468385085903,0
60-69,1month,2020-02-16,6.248281780044721e-5,-0.029996576674113616,-0.007303824059638201,-3.592764104231587e-4,0.007429622189601427,0.03085881610280589,0
60-69,1month,2020-02-23,3.184712645169653e-4,-0.027775971272867486,-0.00707694450815761,-1.315452458770499e-4,0.007484374624282511,0.030934909202259733,0
60-69,1month,2020-03-01,3.088810256816416e-4,-0.03352926301419268,-0.0070115474262352085,0.0011074947569540495,0.00820287754055347,0.030021996969053735,0
60-69,1month,2020-03-08,-5.674719712224443e-4,-0.030875680137642275,-0.008170873691316513,-2.7826461237763934e-4,0.007144285836732114,0.028823358701088698,0
60-69,1month,2020-03-15,-1.9290015398473824e-4,-0.030436725794835848,-0.007607392640653724,-4.0986471432150225e-4,0.007720192240455973,0.02777990552228713,0
60-69,1month,2020-03-22,-3.522264668407271e-4,-0.03017706325617695,-0.008516121866209245,-2.3792918957560479e-4,0.007477031281817377,0.026812397873856156,0
60-69,1month,2020-03-29,-3.6534777868958793e-4,-0.030767913694105007,-0.00819348615361491,-9.079263495444933e-4,0.007821512848201984,0.033706398576907846,0
60-69,1month,2020-04-05,-3.0154418144749223e-6,-0.02899824053236479,-0.007965235365334186,4.118420348766432e-5,0.007612036960172291,0.030174818621739874,0
60-69,1month,2020-04-12,-1.8700640341375168e-4,-0.03065123510056726,-0.007809757406394323,-6.650720393772996e-5,0.007700864701033802,0.029094855937432308,0
60-69,1month,2020-04-19,-1.2840450323778673e-5,-0.030205052814755638,-0.00668116045467553,3.5260817671848275e-4,0.0074911211438361625,0.028622478478070326,0
60-69,1month,2020-04-26,0.499808253258415,0.4658828532149391,0.4922811224065674,0.5000683104076737,0.5071779214433552,0.5307276375120712,0.5
60-69,1month,2020-05-03,0.9998635840484399,0.9711138754205836,0.9919821868442524,0.9992096540651341,1.0071917231216756,1.0317541455586314,1
