agegroup,q025,q50,q975,mean
50-59,1646.0105629440018,3495.0170734077847,5449.594611601189,3496.476264698538
60-69,26923.407363664464,29420.199526701865,31735.759796680468,29438.739603894304
70-79,36027.58611706267,38948.797749361824,41358.32835095692,38885.78369052834
80+,44313.0214756558,47686.93465142998,51134.76684830453,47742.171646894254
