agegroup,q025,q50,q975,mean
50-59,26085.23469057783,30873.154316018106,36120.10023350989,30898.25670723944
60-69,29786.634387380145,71304.46926299226,110477.62328709968,71054.82215833926
70-79,78174.77208591579,84468.1855622608,90955.5092742377,84527.536719283
80+,60086.25060967628,64757.907970983724,69168.05645291257,64701.71769547996
