agegroup,type,week,mean,q025,q25,q50,q75,q975,cases
60-69,1month,2020-02-02,1.715272659585819e-4,-0.03183044437110932,-0.008828238834583925,4.131612327177795e-4,0.009161980538366836,0.031842595620424755,0
60-69,1month,2020-02-09,5.753442012116662e-4,-0.030609525934142345,-0.007939595960309152,6.587664394078265e-4,0.008186130641493098,0.03281852528478653,0
60-69,1month,2020-02-16,-6.056219212887659e-4,-0.03547889535221411,-0.00942495317846728,-7.842291706704457e-6,0.007629376052507684,0.03189936233266656,0
60-69,1month,2020-02-23,0.49989063062367717,0.4688863798688573,0.4914870804310928,0.49995931038047037,0.5082517690460235,0.531554889166981,0.5
60-69,1month,2020-03-01,1.5717786533435998,1.5437141779794736,1.5630373065180432,1.5718536371189948,1.5802657506900324,1.6031064750849158,1.5714285714285714
60-69,1month,2020-03-08,1.928710682701523,1.8998646208487469,1.919740533270749,1.928333017917816,1.9370451524222374,1.9602090777873993,1.9285714285714284
60-69,1month,2020-03-15,2.499263770410803,2.4687149158841266,2.490618949676919,2.499084111322049,2.507817604680186,2.5295789066300736,2.5
60-69,1month,2020-03-22,6.713986019894605,6.681921780309045,6.705766855413896,6.714098508557919,6.722017459532504,6.746555715151247,6.714285714285714
60-69,1month,2020-03-29,16.285876813654248,16.254133756331445,16.277608647485422,16.28655111530189,16.29450793204087,16.315034775160147,16.285714285714285
60-69,1month,2020-04-05,48.50070280903725,48.473895639486265,48.49153769112385,48.50078732470364,48.50888351522515,48.52961818562233,48.5
60-69,1month,2020-04-12,123.99881611970936,123.96662386520897,123.99026264288503,123.99863527154832,124.00785198597646,124.02895832850795,124
60-69,1month,2020-04-19,242.64342222697772,242.61027700199875,242.63500994182434,242.64288167115063,242.65208153600128,242.67692450644344,242.64285714285714
60-69,1month,2020-04-26,337.2146101830005,337.18345825167694,337.2059694945041,337.2153013343425,337.22326965220145,337.24529342872336,337.2142857142857
60-69,1month,2020-05-03,366.85715264278207,366.8282064514909,366.8483202773133,366.85719397453664,366.86569953478937,366.8869493153148,366.85714285714283
60-69,1month,2020-05-10,345.4288974258405,345.3997899503557,345.4204362984281,345.429357199273,345.43729083230676,345.46048161824115,345.42857142857144
60-69,1month,2020-05-17,282.78524783434887,282.7553918214469,282.77681794262054,282.7851504629805,282.79299439953144,282.8184204576103,282.7857142857143
60-69,1month,2020-05-24,206.71396648375742,206.68331338701807,206.70546343507763,206.71461063888856,206.72259481826458,206.74442943636618,206.71428571428572
60-69,1month,2020-05-31,158.78599341228355,158.75738384124097,158.77791722927026,158.7857594884313,158.7939162680802,158.81631623955965,158.78571428571428
60-69,1month,2020-06-07,142.78639842988724,142.7556267132969,142.77782685016592,142.7861948657963,142.79561455880503,142.8163909941775,142.78571428571428
60-69,1month,2020-06-14,133.35749642251469,133.3259074953773,133.34921216887966,133.35734760790575,133.36585801964534,133.39003428124406,133.35714285714286
60-69,1month,2020-06-21,110.64284351030165,110.61316406466156,110.63454442445283,110.64264208815766,110.65182342377514,110.67145322688522,110.64285714285714
60-69,1month,2020-06-28,94.14314540845403,94.11287250469393,94.13481717555337,94.14298210556734,94.15159916471643,94.17498883690463,94.14285714285714
60-69,1month,2020-07-05,97.1424005821829,97.11075116144208,97.13418894473365,97.14238052747706,97.15136856210847,97.17360760943525,97.14285714285714
60-69,1month,2020-07-12,90.2865127613125,90.25505296638946,90.27798563275458,90.28601409141544,90.29463710204175,90.31817903381778,90.28571428571429
60-69,1month,2020-07-19,86.42838432323636,86.39625569370948,86.4206377894297,86.42862018849758,86.43738915166554,86.45806897184055,86.42857142857143
60-69,1month,2020-07-26,73.0725102401511,73.04255721160257,73.0637102994668,73.07201397647896,73.08085253996661,73.10373032707363,73.07142857142857
60-69,1month,2020-08-02,63.49965941177906,63.46795173980699,63.49076481257711,63.49958939393478,63.50838068520404,63.53398274152082,63.5
60-69,1month,2020-08-09,62.00003907645378,61.97100805632386,61.990771588863396,62.00006401928638,62.009054060234355,62.030556897748674,62
60-69,1month,2020-08-16,58.42813830144639,58.39827359999173,58.41973731098668,58.42786325651909,58.436100990849994,58.460775849675294,58.42857142857143
60-69,1month,2020-08-23,56.85674664665777,56.82623187905373,56.848201319058305,56.857292335912746,56.864838613028155,56.88710343791443,56.85714285714286
60-69,1month,2020-08-30,45.071440261311444,45.04204619127977,45.06295673555832,45.071659632876006,45.0797136263627,45.10044091836933,45.07142857142857
60-69,1month,2020-09-06,38.927925617975006,38.89466790474288,38.919164345077924,38.92784092481406,38.93660782924258,38.96226206698975,38.92857142857143
60-69,1month,2020-09-13,35.78553266659463,35.75866252335352,35.77679414524053,35.78548945127055,35.793930062409935,35.81604403640328,35.785714285714285
60-69,1month,2020-09-20,35.8573874463959,35.826537444074134,35.849208504382226,35.85697907733193,35.86554664038239,35.889480298522,35.857142857142854
60-69,1month,2020-09-27,36.999656723497715,36.97037886437141,36.991777519117456,36.999596784600854,37.007234637003926,37.03039285605038,37
