agegroup,type,week,mean,q025,q25,q50,q75,q975,cases
60-69,1month,2020-02-02,9.495246059851141e-5,-0.028547224028959328,-0.0064811474640409875,8.014275618617103e-7,0.006773657275123272,0.029925742652992922,0
60-69,1month,2020-02-09,2.7333279991062975e-4,-0.03214079134464834,-0.007365171072599384,3.1706767637389925e-4,0.0077252799684938925,0.029746092262553345,0
60-69,1month,2020-02-16,7.301688322815443e-5,-0.03223834814002973,-0.007149970763887287,2.969976245238242e-4,0.00775124194520007,0.03136874727877829,0
60-69,1month,2020-02-23,-4.500090766316921e-6,-0.02938759952159793,-0.006819085217639251,3.9422682626277415e-4,0.0075617399132530926,0.025204947823535807,0
60-69,1month,2020-03-01,1.8338491269922924e-4,-0.032813291358129736,-0.006757238349858171,1.7387984102914026e-4,0.007085520203296789,0.028010750013851626,0
60-69,1month,2020-03-08,0.28576114509266226,0.2550264701404125,0.2782813526837563,0.28573759123791476,0.293106162996862,0.3157290868631562,0.2857142857142857
60-69,1month,2020-03-15,0.42801305970722153,0.3993216409107071,0.42138419621736545,0.4279504561247578,0.4348750558925648,0.45536021832959783,0.42857142857142855
60-69,1month,2020-03-22,0.7848761948656681,0.749976685222656,0.7774156463608712,0.7855942121167812,0.7928030093330289,0.8149212339600511,0.7857142857142857
60-69,1month,2020-03-29,0.9997387429223956,0.9708267091054803,0.9924037708918679,0.9998966998102872,1.0072229239081385,1.028103173018108,1
60-69,1month,2020-04-05,1.285075702831039,1.2541913683519479,1.2781202004829155,1.2849924449938077,1.29255998395832,1.3149399390901502,1.2857142857142856
60-69,1month,2020-04-12,2.7850678030756026,2.7527981730613695,2.7782901738197063,2.785537100467002,2.792547226951025,2.8141886198949106,2.7857142857142856
60-69,1month,2020-04-19,4.571815625497616,4.542051308917337,4.563954069628942,4.57143177475322,4.579234088794845,4.605767135172002,4.571428571428571
60-69,1month,2020-04-26,6.499631310029347,6.469707949091741,6.492109172018066,6.499952746697528,6.507026387217813,6.529315509073685,6.5
