agegroup,type,week,mean,q025,q25,q50,q75,q975,cases
60-69,1month,2020-02-02,-9.259676861807543e-4,-0.03328500113043787,-0.00820276669165336,-4.685441776476228e-4,0.007131226181119792,0.030303214967167324,0
60-69,1month,2020-02-09,3.441106687624971e-4,-0.03208019351809754,-0.008095201042323917,1.8822773232574937e-4,0.008536347776196515,0.030040256855883712,0
60-69,1month,2020-02-16,1.2542495564283753e-4,-0.03256529593029613,-0.008259174336881402,4.119130781288499e-4,0.008797137910807069,0.03330634485232987,0
60-69,1month,2020-02-23,-1.6733808363393642e-4,-0.03363369328538325,-0.008235036727664093,-2.342545689566196e-4,0.008808096051648099,0.032267813592680474,0
60-69,1month,2020-03-01,0.8566975225422548,0.8208266073440091,0.8484624109381791,0.8568179036423454,0.864738323569518,0.8907631315892949,0.8571428571428571
60-69,1month,2020-03-08,1.2854161519041065,1.2509452375670187,1.277223508661407,1.2851753601728872,1.2936204352326892,1.318244181098785,1.2857142857142856
60-69,1month,2020-03-15,3.357048185552711,3.327870028118056,3.3482192628119902,3.3568063398735135,3.364294626446867,3.391705442306263,3.357142857142857
60-69,1month,2020-03-22,8.07051360406085,8.037158560372196,8.061230235416552,8.071050907273547,8.079530927341455,8.101545388998295,8.071428571428571
60-69,1month,2020-03-29,7.000351260691707,6.970159445410839,6.991759568574918,7.000147917266121,7.008325355416763,7.034848475344287,7
60-69,1month,2020-04-05,4.928392005633544,4.897576411217104,4.9209698086463955,4.92784273637951,4.9361109950880255,4.961140852574409,4.928571428571429
60-69,1month,2020-04-12,5.927512598227772,5.899291590167859,5.919066154679641,5.927503616356953,5.935677049152712,5.956634630517257,5.928571428571429
60-69,1month,2020-04-19,7.929539700302062,7.898467271412843,7.921047861785764,7.928736228578368,7.9376234452476275,7.964476475539733,7.928571428571428
60-69,1month,2020-04-26,13.356261236524283,13.317664108256075,13.348792433132274,13.356646344038904,13.36460930517983,13.385401886421151,13.357142857142858
60-69,1month,2020-05-03,26.64292113532885,26.608181238277226,26.63475669313498,26.642692273771544,26.651495498410902,26.67912397942811,26.642857142857142
60-69,1month,2020-05-10,38.929177433846284,38.895397829664866,38.9207164350008,38.92909578605236,38.93758087746224,38.963083743480546,38.92857142857143
60-69,1month,2020-05-17,47.428719734646805,47.393705790826,47.42009600310643,47.42867976323064,47.437840940634544,47.46578054362881,47.42857142857143
60-69,1month,2020-05-24,56.78600434927291,56.753662303720546,56.77800067743117,56.78547841682796,56.793921883051866,56.81892029027688,56.785714285714285
