agegroup,type,week,mean,q025,q25,q50,q75,q975,cases
60-69,1month,2020-02-02,-0.006803516871504819,-0.3338889597298899,-0.09293472018489478,-0.014079184624940028,0.08265481995602558,0.3169299434743016,0
60-69,1month,2020-02-09,0.004321652529139742,-0.27063239434481706,-0.0830371409038453,0.0015421404208503823,0.09155116961653317,0.267388729254835,0
60-69,1month,2020-02-16,-0.011147039885296932,-0.3184575514859061,-0.09346982976456535,-0.0017520343932728027,0.07736148802054896,0.26761838014926015,0
60-69,1month,2020-02-23,0.2900407329803666,0.024235553991022868,0.20191090118024002,0.28746764275465564,0.3773332463559626,0.5672838515130503,0.2857142857142857
60-69,1month,2020-03-01,2.285648186660978,1.995992963568475,2.1987306002572193,2.286795681021577,2.3694046230949497,2.57062401449551,2.2857142857142856
60-69,1month,2020-03-08,5.5775124225274135,5.322964969390988,5.486854297075457,5.575573176979983,5.6633087095810115,5.87426757842766,5.571428571428571
60-69,1month,2020-03-15,13.997367844684913,13.713906560029082,13.906391863334825,13.995212242498347,14.078258151154921,14.305841681366863,14
60-69,1month,2020-03-22,27.997676455897274,27.731821130966917,27.91010527461523,27.999981258896188,28.085421240863337,28.263629717066117,28
60-69,1month,2020-03-29,42.92900575194262,42.60795619891192,42.84284136914227,42.9363397746517,43.020970486800955,43.19163887718854,42.92857142857143
60-69,1month,2020-04-05,85.22015133051188,84.91843694342732,85.13045487524165,85.22069464283756,85.30752457337077,85.53116051804038,85.21428571428571
60-69,1month,2020-04-12,165.57331281086525,165.3009121466516,165.49193038030685,165.57148749230527,165.6621569578863,165.85507623855003,165.57142857142856
60-69,1month,2020-04-19,269.133793387468,268.8600104806795,269.0476659276143,269.1284460693099,269.21094675448654,269.41808456634624,269.1428571428571
60-69,1month,2020-04-26,347.9980883993056,347.72571019768236,347.9101841328324,347.99465015521844,348.08141743124327,348.28340141333143,348
60-69,1month,2020-05-03,390.5662459172007,390.2516455042742,390.4842838169743,390.57144380264447,390.65721533875535,390.8366333560236,390.57142857142856
60-69,1month,2020-05-10,412.7118566305879,412.4337983981651,412.6234118568316,412.70718028467195,412.79883773330226,413.00950314426916,412.7142857142857
60-69,1month,2020-05-17,383.2890624579307,383.03559767754376,383.1985524665603,383.28699936497753,383.37626719899873,383.5708112841008,383.2857142857143
60-69,1month,2020-05-24,309.0035471226131,308.7032378987338,308.92230827033876,309.0024167058029,309.08439156324016,309.2913297849333,309
60-69,1month,2020-05-31,252.7083772497566,252.39571242976018,252.61806018247862,252.71572805531338,252.80175116628234,253.0004086284988,252.71428571428572
60-69,1month,2020-06-07,226.7165618399661,226.4349058744808,226.63025753150598,226.71812226111857,226.80631347708243,227.00010210949767,226.71428571428572
60-69,1month,2020-06-14,194.99637110458963,194.71829999207398,194.90900395835416,194.99836048732237,195.08041335800337,195.26276232763738,195
