sample,agegroup,diff_cum
1,50-59,5332.767264620466
1,60-69,31077.30832708638
1,70-79,40137.742644755475
1,80+,46735.72233283296
2,50-59,5551.60087665094
2,60-69,34863.06406708744
2,70-79,42418.288657623605
2,80+,44780.06139862563
3,50-59,5379.44236457093
3,60-69,33126.17711894443
3,70-79,40952.88545266678
3,80+,48180.40125415755
4,50-59,4957.590112671355
4,60-69,33214.24682610294
4,70-79,40868.762968816925
4,80+,44276.01888310358
5,50-59,6184.2481394866445
5,60-69,30769.134032684975
5,70-79,40576.26052747858
5,80+,47545.15840758239
6,50-59,6406.911124418345
6,60-69,31694.120027584944
6,70-79,42302.387066648174
6,80+,47447.794011810845
7,50-59,6046.021464485078
7,60-69,31053.712033643445
7,70-79,41523.15330586827
7,80+,47486.92767940815
8,50-59,3945.0231713317216
8,60-69,32399.882302125
8,70-79,39708.20621786106
8,80+,46953.95842509815
9,50-59,4593.164274004324
9,60-69,31219.91012407111
9,70-79,40547.643517535456
9,80+,47153.10162152662
10,50-59,4845.0217389373875
10,60-69,32374.72432445811
10,70-79,39912.47804006759
10,80+,46433.62766524998
11,50-59,4574.246639576197
11,60-69,33538.29063681622
11,70-79,40295.06663634705
11,80+,47571.21669650135
12,50-59,5178.3732403647255
12,60-69,33978.118756157004
12,70-79,42136.54565659816
12,80+,46776.31288117205
13,50-59,6512.428537352431
13,60-69,33408.61259720474
13,70-79,42216.236981262424
13,80+,46352.0103384332
14,50-59,5828.869793988621
14,60-69,32413.6747436777
14,70-79,39806.71647119058
14,80+,46074.92627140813
15,50-59,5317.940815981575
15,60-69,29914.99141339325
15,70-79,40315.779258469534
15,80+,46515.24331866758
16,50-59,6487.991941443637
16,60-69,29209.046936199604
16,70-79,41810.72341708887
16,80+,41950.10042346194
17,50-59,4170.697615176285
17,60-69,32875.13206194818
17,70-79,41721.31626853136
17,80+,47606.72448855098
18,50-59,4998.076503956417
18,60-69,35245.11723148177
18,70-79,38217.96107125649
18,80+,45758.517568388255
19,50-59,4501.391531877226
19,60-69,31985.505486274826
19,70-79,43536.13946388575
19,80+,47603.20108870641
20,50-59,3411.315997919346
20,60-69,30714.91818496251
20,70-79,41372.63757808144
20,80+,48628.520205199886
21,50-59,4482.464087053874
21,60-69,30066.02537404731
21,70-79,40102.08938344278
21,80+,46609.14563658998
22,50-59,2565.6938123324444
22,60-69,32490.289805994536
22,70-79,42400.45540505309
22,80+,45784.24818320233
23,50-59,4395.094950715044
23,60-69,32517.32074844323
23,70-79,40571.819268776875
23,80+,46081.354809468125
24,50-59,6184.595178934268
24,60-69,33450.46825753022
24,70-79,42085.01085586871
24,80+,44636.225710930834
25,50-59,7295.6906535839125
25,60-69,31814.816916801803
25,70-79,41111.820113920476
25,80+,44459.17450507161
26,50-59,4737.883053204461
26,60-69,31689.754201136115
26,70-79,39564.495146787805
26,80+,49088.001400265624
27,50-59,5286.641588714078
27,60-69,33621.77853688356
27,70-79,38001.82627650827
27,80+,43664.8235816008
28,50-59,4891.752487529993
28,60-69,31529.859355354143
28,70-79,40552.64526365676
28,80+,46839.98998769915
29,50-59,5805.713115199947
29,60-69,32481.48176567184
29,70-79,42281.359333309236
29,80+,47732.526390183964
30,50-59,6203.276172524777
30,60-69,32485.919929969477
30,70-79,41889.32370120497
30,80+,46928.00104822045
31,50-59,5442.921938701507
31,60-69,32895.15599190261
31,70-79,42002.19665957614
31,80+,46614.945525924806
32,50-59,5186.754422050458
32,60-69,34084.09475458073
32,70-79,41265.266990867334
32,80+,44040.06535847714
33,50-59,6129.054227884833
33,60-69,34068.3533771979
33,70-79,39336.82434436868
33,80+,46589.947280571694
34,50-59,5371.635236374748
34,60-69,31514.55272685556
34,70-79,42471.28994025756
34,80+,42773.56769968511
35,50-59,5452.478551399408
35,60-69,31272.467372549156
35,70-79,39990.81712146166
35,80+,45912.9580382608
36,50-59,4214.215155548592
36,60-69,32426.844797470494
36,70-79,38896.943169243095
36,80+,45254.168560645005
37,50-59,5260.570983114857
37,60-69,35041.764203642015
37,70-79,38698.04222195161
37,80+,44805.091305331254
38,50-59,6034.723419737464
38,60-69,31197.30846287975
38,70-79,41597.4608181748
38,80+,43445.25496533785
39,50-59,4963.264773541239
39,60-69,32043.887400241554
39,70-79,43851.29795235204
39,80+,48094.40604039146
40,50-59,4132.936383554404
40,60-69,32633.79705280978
40,70-79,39825.104107039144
40,80+,43506.298086785166
41,50-59,4363.486778179585
41,60-69,33210.20023849498
41,70-79,41171.86679554987
41,80+,46897.58326966593
42,50-59,5500.090084727961
42,60-69,31964.981706674633
42,70-79,39869.078222951204
42,80+,44822.885344256196
43,50-59,5191.923090195286
43,60-69,34679.906770815636
43,70-79,39348.95024495488
43,80+,47428.88338967332
44,50-59,5059.986798699359
44,60-69,33536.316053113995
44,70-79,40174.84973751073
44,80+,49336.32745277365
45,50-59,4890.9185025621055
45,60-69,29918.462402077548
45,70-79,41748.6888904656
45,80+,47762.29288903816
46,50-59,5913.25550744195
46,60-69,33016.12935503214
46,70-79,42189.143684942
46,80+,47941.74477296587
47,50-59,4654.348236001913
47,60-69,32088.398122450293
47,70-79,39812.902788464104
47,80+,48007.523123178486
48,50-59,5160.435188160671
48,60-69,32897.08259077612
48,70-79,38896.78530501893
48,80+,43042.05321051346
49,50-59,5493.8508671374775
49,60-69,35625.561284037394
49,70-79,40714.73254742413
49,80+,45728.0256192536
50,50-59,6952.022594927569
50,60-69,33237.26167855295
50,70-79,39935.53781497043
50,80+,46315.70036361726
51,50-59,5547.01721466264
51,60-69,30762.370121662447
51,70-79,39182.61372129362
51,80+,46995.29235063078
52,50-59,3807.6540183082966
52,60-69,33291.09480318891
52,70-79,41856.313234854955
52,80+,45313.554476125646
53,50-59,5101.627239624537
53,60-69,31998.827413941766
53,70-79,41670.35564409464
53,80+,43193.77335365292
54,50-59,5195.922045880257
54,60-69,30348.715776268436
54,70-79,38680.500995150265
54,80+,45755.64217262056
55,50-59,4593.988902519043
55,60-69,31450.304335721725
55,70-79,42343.39987647899
55,80+,48538.16819171191
56,50-59,4845.567985906802
56,60-69,33176.503934734654
56,70-79,40430.519641378945
56,80+,44861.98151990911
57,50-59,6573.533132309611
57,60-69,31781.930424798174
57,70-79,38979.88838384349
57,80+,43348.67645222998
58,50-59,5439.004748049173
58,60-69,31579.988966756235
58,70-79,41931.42600567159
58,80+,45550.453652392425
59,50-59,4144.3790710292
59,60-69,34149.21173763151
59,70-79,38415.172320998194
59,80+,51198.99720121624
60,50-59,6300.896202695524
60,60-69,34961.69925788037
60,70-79,39055.371946575535
60,80+,45556.54434321397
61,50-59,6746.945679059746
61,60-69,32779.40757197559
61,70-79,41586.729601965744
61,80+,49684.100803538066
62,50-59,5262.951576125001
62,60-69,33172.00917362884
62,70-79,40650.608785811324
62,80+,45277.38838463463
63,50-59,5513.134528873881
63,60-69,30019.003963315437
63,70-79,40328.677584322286
63,80+,46150.20033303195
64,50-59,6196.499535624711
64,60-69,33351.025766749706
64,70-79,36260.267330214214
64,80+,44261.71861748248
65,50-59,5908.05172446905
65,60-69,31169.61838744665
65,70-79,40018.7577982891
65,80+,43170.958715257686
66,50-59,4214.174527283817
66,60-69,32630.531705481968
66,70-79,39305.13591017079
66,80+,46219.91645346242
67,50-59,5599.086962268223
67,60-69,33724.56533989997
67,70-79,39712.85156702444
67,80+,45624.294717902914
68,50-59,5915.6960576282645
68,60-69,32139.668177040483
68,70-79,44199.89068695819
68,80+,45462.103018201116
69,50-59,3522.5401277780916
69,60-69,32637.756419745932
69,70-79,41128.91537187606
69,80+,46193.24972074795
70,50-59,4501.107223000323
70,60-69,31918.912892955144
70,70-79,39888.11311423001
70,80+,47299.47080152877
71,50-59,5092.438546326169
71,60-69,30255.47371887187
71,70-79,39157.72369676842
71,80+,43968.77342563013
72,50-59,5094.507541938699
72,60-69,32404.689461087684
72,70-79,40622.91733651949
72,80+,45364.37352920588
73,50-59,6716.826327560937
73,60-69,32476.08240725307
